regime_id,method,sample_count,positive_count,pr_auc,roc_auc,brier,ece,precision,recall,f1,alert_rate
REGIME_01,raw,106,7,0.3164331563346342,0.8556998556998556,0.057671395503524105,0.024162545696959234,0.2777777777777778,0.7142857142857143,0.4,0.16981132075471697
REGIME_01,isotonic,106,7,0.2519352568613652,0.8492063492063492,0.056895876371309814,0.03552073752273531,0.16666666666666666,0.8571428571428571,0.27906976744186046,0.33962264150943394
REGIME_02,raw,650,24,0.1466313446445446,0.7726304579339723,0.03416623852952744,0.015245663628779268,0.11,0.4583333333333333,0.1774193548387097,0.15384615384615385
REGIME_02,isotonic,650,24,0.10934276910843738,0.7713990947816827,0.04651033253467971,0.07369641613835047,0.07575757575757576,0.8333333333333334,0.1388888888888889,0.40615384615384614
