year,method,sample_count,positive_count,pr_auc,roc_auc,brier,ece,precision,recall,f1,alert_rate
2016,raw,432,28,0.35343804784286603,0.8233734087694484,0.05629077386303188,0.0242339483429855,0.2692307692307692,0.5,0.35,0.12037037037037036
2016,isotonic,432,28,0.2501735835770356,0.822842998585573,0.05471145985894968,0.025823892813626802,0.1554054054054054,0.8214285714285714,0.26136363636363635,0.3425925925925926
2017,raw,324,3,0.03639846743295019,0.8130841121495327,0.012356816847952512,0.04635239139160002,0.030303030303030304,0.6666666666666666,0.057971014492753624,0.2037037037037037
2017,isotonic,324,3,0.036881977671451356,0.8001038421599169,0.03897323575257528,0.12296129714796883,0.019736842105263157,1.0,0.03870967741935484,0.4691358024691358
