split,method,pr_auc,roc_auc,brier,ece,precision,recall,f1,alert_rate
validation,raw,0.2958425501304199,0.8161374836254757,0.08189869547816431,0.05266415500217409,0.28688524590163933,0.4268292682926829,0.3431372549019608,0.1412037037037037
validation,isotonic,0.30160149912594636,0.8284573638575259,0.07349762289163775,7.581384080194934e-18,0.22569444444444445,0.7926829268292683,0.35135135135135137,0.3333333333333333
test,raw,0.15020059525206744,0.7863403781979977,0.037461935142283576,0.014814606753650619,0.13559322033898305,0.5161290322580645,0.21476510067114093,0.15608465608465608
test,isotonic,0.1211494715415385,0.7842936596218021,0.047966506670503506,0.06745420895691626,0.08666666666666667,0.8387096774193549,0.15709969788519637,0.3968253968253968
