subdivision,method,sample_count,positive_count,pr_auc,roc_auc,brier,ece,precision,recall,f1,alert_rate
Sub Himalayan West Bengal & Sikkim,isotonic,21,3,0.30357142857142855,0.7962962962962963,0.14435993171410338,0.14419939734409676,0.25,1.0,0.4,0.5714285714285714
Tamil Nadu,raw,21,5,0.4526315789473684,0.6625000000000001,0.2060145104324588,0.17832002616806353,0.4,0.4,0.4,0.23809523809523808
Tamil Nadu,isotonic,21,5,0.36,0.6187500000000001,0.18295398649037314,0.13043834371399335,0.3333333333333333,0.8,0.47058823529411764,0.5714285714285714
Telangana,raw,21,0,0.0,,0.002275969567083926,0.037789373697165694,0.0,0.0,0.0,0.09523809523809523
Telangana,isotonic,21,0,0.0,,0.011747515804250017,0.08129844384090396,0.0,0.0,0.0,0.38095238095238093
Uttarakhand,raw,21,0,0.0,,0.002643688221041186,0.04104498420800647,0.0,0.0,0.0,0.09523809523809523
Uttarakhand,isotonic,21,0,0.0,,0.01447242668089828,0.0879656826455932,0.0,0.0,0.0,0.38095238095238093
Vidarbha,raw,21,0,0.0,,0.0036102090695126045,0.04673035813180722,0.0,0.0,0.0,0.19047619047619047
Vidarbha,isotonic,21,0,0.0,,0.019307254059171518,0.10219644986816745,0.0,0.0,0.0,0.38095238095238093
West Madhya Pradesh,raw,21,0,0.0,,0.0025396517322977927,0.03913765630350978,0.0,0.0,0.0,0.09523809523809523
West Madhya Pradesh,isotonic,21,0,0.0,,0.01415251220416076,0.08663709239091313,0.0,0.0,0.0,0.38095238095238093
West Rajasthan,raw,21,0,0.0,,0.0012429279032065814,0.028671903930186916,0.0,0.0,0.0,0.0
West Rajasthan,isotonic,21,0,0.0,,0.006033337844296961,0.05859474253023747,0.0,0.0,0.0,0.23809523809523808
West Uttar Pradesh,raw,21,0,0.0,,0.0026049160473453027,0.04080792311136166,0.0,0.0,0.0,0.14285714285714285
West Uttar Pradesh,isotonic,21,0,0.0,,0.014351891921476314,0.08908075381332123,0.0,0.0,0.0,0.38095238095238093
