track,label,split,probability_column,pr_auc,roc_auc,brier,ece,precision,recall,f1,alert_rate
A,Frozen V4 baseline,test,track_a_probability,0.09249057749014135,0.7538598442714126,0.04576443462887462,0.03919889374955688,0.09803921568627451,0.16129032258064516,0.12195121951219512,0.06746031746031746
B,TRANSductive / EXPLORATORY,test,track_b_probability,0.05124377677685496,0.5699888765294772,0.039189824355703895,0.0033621371976195746,0.0,0.0,0.0,0.0
C,Strict train-fitted regime-aware raw,test,track_c_raw_probability,0.15020059525206744,0.7863403781979977,0.037461935142283576,0.014814606753650619,0.13559322033898305,0.5161290322580645,0.21476510067114093,0.15608465608465608
C,Strict train-fitted regime-aware calibrated,test,track_c_calibrated_probability,0.1211494715415385,0.7842936596218021,0.047966506670503506,0.06745420895691626,0.08666666666666667,0.8387096774193549,0.15709969788519637,0.3968253968253968
