state_id,subdivision,year,month,season,regime_id,regime_assignment_version,previous_state_id,previous_regime_id,regime_changed,consecutive_months_in_current_regime,regime_duration
andaman_nicobar_islands_1904_02,Andaman & Nicobar Islands,1904,2,WINTER,REGIME_01,v1,andaman_nicobar_islands_1904_01,REGIME_01,False,4,4
andaman_nicobar_islands_1904_03,Andaman & Nicobar Islands,1904,3,PRE_MONSOON,REGIME_01,v1,andaman_nicobar_islands_1904_02,REGIME_01,False,5,5
andaman_nicobar_islands_1904_04,Andaman & Nicobar Islands,1904,4,PRE_MONSOON,REGIME_01,v1,andaman_nicobar_islands_1904_03,REGIME_01,False,6,6
andaman_nicobar_islands_1904_05,Andaman & Nicobar Islands,1904,5,PRE_MONSOON,REGIME_02,v1,andaman_nicobar_islands_1904_04,REGIME_01,True,1,1
andaman_nicobar_islands_1904_06,Andaman & Nicobar Islands,1904,6,MONSOON,REGIME_01,v1,andaman_nicobar_islands_1904_05,REGIME_02,True,1,1
andaman_nicobar_islands_1904_07,Andaman & Nicobar Islands,1904,7,MONSOON,REGIME_01,v1,andaman_nicobar_islands_1904_06,REGIME_01,False,2,2
andaman_nicobar_islands_1904_08,Andaman & Nicobar Islands,1904,8,MONSOON,REGIME_02,v1,andaman_nicobar_islands_1904_07,REGIME_01,True,1,1
andaman_nicobar_islands_1904_09,Andaman & Nicobar Islands,1904,9,MONSOON,REGIME_01,v1,andaman_nicobar_islands_1904_08,REGIME_02,True,1,1
andaman_nicobar_islands_1904_10,Andaman & Nicobar Islands,1904,10,POST_MONSOON,REGIME_02,v1,andaman_nicobar_islands_1904_09,REGIME_01,True,1,1
andaman_nicobar_islands_1904_11,Andaman & Nicobar Islands,1904,11,POST_MONSOON,REGIME_01,v1,andaman_nicobar_islands_1904_10,REGIME_02,True,1,1
andaman_nicobar_islands_1904_12,Andaman & Nicobar Islands,1904,12,POST_MONSOON,REGIME_02,v1,andaman_nicobar_islands_1904_11,REGIME_01,True,1,1
andaman_nicobar_islands_1905_01,Andaman & Nicobar Islands,1905,1,WINTER,REGIME_02,v1,andaman_nicobar_islands_1904_12,REGIME_02,False,2,2
andaman_nicobar_islands_1905_02,Andaman & Nicobar Islands,1905,2,WINTER,REGIME_01,v1,andaman_nicobar_islands_1905_01,REGIME_02,True,1,1
andaman_nicobar_islands_1905_03,Andaman & Nicobar Islands,1905,3,PRE_MONSOON,REGIME_01,v1,andaman_nicobar_islands_1905_02,REGIME_01,False,2,2
andaman_nicobar_islands_1905_04,Andaman & Nicobar Islands,1905,4,PRE_MONSOON,REGIME_01,v1,andaman_nicobar_islands_1905_03,REGIME_01,False,3,3
andaman_nicobar_islands_1905_05,Andaman & Nicobar Islands,1905,5,PRE_MONSOON,REGIME_02,v1,andaman_nicobar_islands_1905_04,REGIME_01,True,1,1
andaman_nicobar_islands_1905_06,Andaman & Nicobar Islands,1905,6,MONSOON,REGIME_01,v1,andaman_nicobar_islands_1905_05,REGIME_02,True,1,1
andaman_nicobar_islands_1905_07,Andaman & Nicobar Islands,1905,7,MONSOON,REGIME_01,v1,andaman_nicobar_islands_1905_06,REGIME_01,False,2,2
andaman_nicobar_islands_1905_08,Andaman & Nicobar Islands,1905,8,MONSOON,REGIME_02,v1,andaman_nicobar_islands_1905_07,REGIME_01,True,1,1
andaman_nicobar_islands_1905_09,Andaman & Nicobar Islands,1905,9,MONSOON,REGIME_02,v1,andaman_nicobar_islands_1905_08,REGIME_02,False,2,2
andaman_nicobar_islands_1905_10,Andaman & Nicobar Islands,1905,10,POST_MONSOON,REGIME_01,v1,andaman_nicobar_islands_1905_09,REGIME_02,True,1,1
andaman_nicobar_islands_1905_11,Andaman & Nicobar Islands,1905,11,POST_MONSOON,REGIME_02,v1,andaman_nicobar_islands_1905_10,REGIME_01,True,1,1
andaman_nicobar_islands_1905_12,Andaman & Nicobar Islands,1905,12,POST_MONSOON,REGIME_01,v1,andaman_nicobar_islands_1905_11,REGIME_02,True,1,1
andaman_nicobar_islands_1906_01,Andaman & Nicobar Islands,1906,1,WINTER,REGIME_01,v1,andaman_nicobar_islands_1905_12,REGIME_01,False,2,2
andaman_nicobar_islands_1906_02,Andaman & Nicobar Islands,1906,2,WINTER,REGIME_01,v1,andaman_nicobar_islands_1906_01,REGIME_01,False,3,3
andaman_nicobar_islands_1906_03,Andaman & Nicobar Islands,1906,3,PRE_MONSOON,REGIME_01,v1,andaman_nicobar_islands_1906_02,REGIME_01,False,4,4
andaman_nicobar_islands_1906_04,Andaman & Nicobar Islands,1906,4,PRE_MONSOON,REGIME_02,v1,andaman_nicobar_islands_1906_03,REGIME_01,True,1,1
andaman_nicobar_islands_1906_05,Andaman & Nicobar Islands,1906,5,PRE_MONSOON,REGIME_01,v1,andaman_nicobar_islands_1906_04,REGIME_02,True,1,1
andaman_nicobar_islands_1906_06,Andaman & Nicobar Islands,1906,6,MONSOON,REGIME_01,v1,andaman_nicobar_islands_1906_05,REGIME_01,False,2,2
andaman_nicobar_islands_1906_07,Andaman & Nicobar Islands,1906,7,MONSOON,REGIME_02,v1,andaman_nicobar_islands_1906_06,REGIME_01,True,1,1
andaman_nicobar_islands_1906_08,Andaman & Nicobar Islands,1906,8,MONSOON,REGIME_02,v1,andaman_nicobar_islands_1906_07,REGIME_02,False,2,2
andaman_nicobar_islands_1906_09,Andaman & Nicobar Islands,1906,9,MONSOON,REGIME_02,v1,andaman_nicobar_islands_1906_08,REGIME_02,False,3,3
andaman_nicobar_islands_1906_10,Andaman & Nicobar Islands,1906,10,POST_MONSOON,REGIME_01,v1,andaman_nicobar_islands_1906_09,REGIME_02,True,1,1
andaman_nicobar_islands_1906_11,Andaman & Nicobar Islands,1906,11,POST_MONSOON,REGIME_02,v1,andaman_nicobar_islands_1906_10,REGIME_01,True,1,1
andaman_nicobar_islands_1906_12,Andaman & Nicobar Islands,1906,12,POST_MONSOON,REGIME_02,v1,andaman_nicobar_islands_1906_11,REGIME_02,False,2,2
andaman_nicobar_islands_1907_01,Andaman & Nicobar Islands,1907,1,WINTER,REGIME_01,v1,andaman_nicobar_islands_1906_12,REGIME_02,True,1,1
andaman_nicobar_islands_1907_02,Andaman & Nicobar Islands,1907,2,WINTER,REGIME_01,v1,andaman_nicobar_islands_1907_01,REGIME_01,False,2,2
andaman_nicobar_islands_1907_03,Andaman & Nicobar Islands,1907,3,PRE_MONSOON,REGIME_01,v1,andaman_nicobar_islands_1907_02,REGIME_01,False,3,3
andaman_nicobar_islands_1907_04,Andaman & Nicobar Islands,1907,4,PRE_MONSOON,REGIME_01,v1,andaman_nicobar_islands_1907_03,REGIME_01,False,4,4
andaman_nicobar_islands_1907_05,Andaman & Nicobar Islands,1907,5,PRE_MONSOON,REGIME_01,v1,andaman_nicobar_islands_1907_04,REGIME_01,False,5,5
andaman_nicobar_islands_1907_06,Andaman & Nicobar Islands,1907,6,MONSOON,REGIME_02,v1,andaman_nicobar_islands_1907_05,REGIME_01,True,1,1
andaman_nicobar_islands_1907_07,Andaman & Nicobar Islands,1907,7,MONSOON,REGIME_01,v1,andaman_nicobar_islands_1907_06,REGIME_02,True,1,1
andaman_nicobar_islands_1907_08,Andaman & Nicobar Islands,1907,8,MONSOON,REGIME_01,v1,andaman_nicobar_islands_1907_07,REGIME_01,False,2,2
andaman_nicobar_islands_1907_09,Andaman & Nicobar Islands,1907,9,MONSOON,REGIME_02,v1,andaman_nicobar_islands_1907_08,REGIME_01,True,1,1
andaman_nicobar_islands_1907_10,Andaman & Nicobar Islands,1907,10,POST_MONSOON,REGIME_01,v1,andaman_nicobar_islands_1907_09,REGIME_02,True,1,1
andaman_nicobar_islands_1907_11,Andaman & Nicobar Islands,1907,11,POST_MONSOON,REGIME_01,v1,andaman_nicobar_islands_1907_10,REGIME_01,False,2,2
andaman_nicobar_islands_1907_12,Andaman & Nicobar Islands,1907,12,POST_MONSOON,REGIME_01,v1,andaman_nicobar_islands_1907_11,REGIME_01,False,3,3
andaman_nicobar_islands_1908_01,Andaman & Nicobar Islands,1908,1,WINTER,REGIME_01,v1,andaman_nicobar_islands_1907_12,REGIME_01,False,4,4
andaman_nicobar_islands_1908_02,Andaman & Nicobar Islands,1908,2,WINTER,REGIME_01,v1,andaman_nicobar_islands_1908_01,REGIME_01,False,5,5
andaman_nicobar_islands_1908_03,Andaman & Nicobar Islands,1908,3,PRE_MONSOON,REGIME_01,v1,andaman_nicobar_islands_1908_02,REGIME_01,False,6,6
andaman_nicobar_islands_1908_04,Andaman & Nicobar Islands,1908,4,PRE_MONSOON,REGIME_01,v1,andaman_nicobar_islands_1908_03,REGIME_01,False,7,7
andaman_nicobar_islands_1908_05,Andaman & Nicobar Islands,1908,5,PRE_MONSOON,REGIME_01,v1,andaman_nicobar_islands_1908_04,REGIME_01,False,8,8
andaman_nicobar_islands_1908_06,Andaman & Nicobar Islands,1908,6,MONSOON,REGIME_01,v1,andaman_nicobar_islands_1908_05,REGIME_01,False,9,9
andaman_nicobar_islands_1908_07,Andaman & Nicobar Islands,1908,7,MONSOON,REGIME_01,v1,andaman_nicobar_islands_1908_06,REGIME_01,False,10,10
andaman_nicobar_islands_1908_08,Andaman & Nicobar Islands,1908,8,MONSOON,REGIME_01,v1,andaman_nicobar_islands_1908_07,REGIME_01,False,11,11
andaman_nicobar_islands_1908_09,Andaman & Nicobar Islands,1908,9,MONSOON,REGIME_01,v1,andaman_nicobar_islands_1908_08,REGIME_01,False,12,12
andaman_nicobar_islands_1910_01,Andaman & Nicobar Islands,1910,1,WINTER,REGIME_01,v1,andaman_nicobar_islands_1908_09,REGIME_01,False,13,13
andaman_nicobar_islands_1910_02,Andaman & Nicobar Islands,1910,2,WINTER,REGIME_01,v1,andaman_nicobar_islands_1910_01,REGIME_01,False,14,14
andaman_nicobar_islands_1910_03,Andaman & Nicobar Islands,1910,3,PRE_MONSOON,REGIME_01,v1,andaman_nicobar_islands_1910_02,REGIME_01,False,15,15
andaman_nicobar_islands_1910_04,Andaman & Nicobar Islands,1910,4,PRE_MONSOON,REGIME_01,v1,andaman_nicobar_islands_1910_03,REGIME_01,False,16,16
andaman_nicobar_islands_1910_05,Andaman & Nicobar Islands,1910,5,PRE_MONSOON,REGIME_02,v1,andaman_nicobar_islands_1910_04,REGIME_01,True,1,1
andaman_nicobar_islands_1910_06,Andaman & Nicobar Islands,1910,6,MONSOON,REGIME_01,v1,andaman_nicobar_islands_1910_05,REGIME_02,True,1,1
andaman_nicobar_islands_1910_07,Andaman & Nicobar Islands,1910,7,MONSOON,REGIME_02,v1,andaman_nicobar_islands_1910_06,REGIME_01,True,1,1
andaman_nicobar_islands_1910_08,Andaman & Nicobar Islands,1910,8,MONSOON,REGIME_02,v1,andaman_nicobar_islands_1910_07,REGIME_02,False,2,2
andaman_nicobar_islands_1910_09,Andaman & Nicobar Islands,1910,9,MONSOON,REGIME_01,v1,andaman_nicobar_islands_1910_08,REGIME_02,True,1,1
andaman_nicobar_islands_1910_10,Andaman & Nicobar Islands,1910,10,POST_MONSOON,REGIME_02,v1,andaman_nicobar_islands_1910_09,REGIME_01,True,1,1
andaman_nicobar_islands_1910_11,Andaman & Nicobar Islands,1910,11,POST_MONSOON,REGIME_01,v1,andaman_nicobar_islands_1910_10,REGIME_02,True,1,1
andaman_nicobar_islands_1910_12,Andaman & Nicobar Islands,1910,12,POST_MONSOON,REGIME_01,v1,andaman_nicobar_islands_1910_11,REGIME_01,False,2,2
andaman_nicobar_islands_1911_01,Andaman & Nicobar Islands,1911,1,WINTER,REGIME_02,v1,andaman_nicobar_islands_1910_12,REGIME_01,True,1,1
andaman_nicobar_islands_1911_02,Andaman & Nicobar Islands,1911,2,WINTER,REGIME_01,v1,andaman_nicobar_islands_1911_01,REGIME_02,True,1,1
andaman_nicobar_islands_1911_03,Andaman & Nicobar Islands,1911,3,PRE_MONSOON,REGIME_01,v1,andaman_nicobar_islands_1911_02,REGIME_01,False,2,2
andaman_nicobar_islands_1911_04,Andaman & Nicobar Islands,1911,4,PRE_MONSOON,REGIME_01,v1,andaman_nicobar_islands_1911_03,REGIME_01,False,3,3
andaman_nicobar_islands_1911_05,Andaman & Nicobar Islands,1911,5,PRE_MONSOON,REGIME_01,v1,andaman_nicobar_islands_1911_04,REGIME_01,False,4,4
andaman_nicobar_islands_1911_06,Andaman & Nicobar Islands,1911,6,MONSOON,REGIME_01,v1,andaman_nicobar_islands_1911_05,REGIME_01,False,5,5
andaman_nicobar_islands_1911_07,Andaman & Nicobar Islands,1911,7,MONSOON,REGIME_02,v1,andaman_nicobar_islands_1911_06,REGIME_01,True,1,1
andaman_nicobar_islands_1911_08,Andaman & Nicobar Islands,1911,8,MONSOON,REGIME_02,v1,andaman_nicobar_islands_1911_07,REGIME_02,False,2,2
andaman_nicobar_islands_1911_09,Andaman & Nicobar Islands,1911,9,MONSOON,REGIME_01,v1,andaman_nicobar_islands_1911_08,REGIME_02,True,1,1
andaman_nicobar_islands_1911_10,Andaman & Nicobar Islands,1911,10,POST_MONSOON,REGIME_01,v1,andaman_nicobar_islands_1911_09,REGIME_01,False,2,2
andaman_nicobar_islands_1911_11,Andaman & Nicobar Islands,1911,11,POST_MONSOON,REGIME_02,v1,andaman_nicobar_islands_1911_10,REGIME_01,True,1,1
andaman_nicobar_islands_1911_12,Andaman & Nicobar Islands,1911,12,POST_MONSOON,REGIME_01,v1,andaman_nicobar_islands_1911_11,REGIME_02,True,1,1
