subdivision,previous_state_id,current_state_id,previous_regime_id,current_regime_id,regime_changed,months_in_previous_regime
Andaman & Nicobar Islands,andaman_nicobar_islands_1904_12,andaman_nicobar_islands_1905_01,REGIME_02,REGIME_02,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1905_01,andaman_nicobar_islands_1905_02,REGIME_02,REGIME_01,True,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1905_02,andaman_nicobar_islands_1905_03,REGIME_01,REGIME_01,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1905_03,andaman_nicobar_islands_1905_04,REGIME_01,REGIME_01,False,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1905_04,andaman_nicobar_islands_1905_05,REGIME_01,REGIME_02,True,3
Andaman & Nicobar Islands,andaman_nicobar_islands_1905_05,andaman_nicobar_islands_1905_06,REGIME_02,REGIME_01,True,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1905_06,andaman_nicobar_islands_1905_07,REGIME_01,REGIME_01,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1905_07,andaman_nicobar_islands_1905_08,REGIME_01,REGIME_02,True,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1905_08,andaman_nicobar_islands_1905_09,REGIME_02,REGIME_02,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1905_09,andaman_nicobar_islands_1905_10,REGIME_02,REGIME_01,True,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1905_10,andaman_nicobar_islands_1905_11,REGIME_01,REGIME_02,True,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1905_11,andaman_nicobar_islands_1905_12,REGIME_02,REGIME_01,True,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1905_12,andaman_nicobar_islands_1906_01,REGIME_01,REGIME_01,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1906_01,andaman_nicobar_islands_1906_02,REGIME_01,REGIME_01,False,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1906_02,andaman_nicobar_islands_1906_03,REGIME_01,REGIME_01,False,3
Andaman & Nicobar Islands,andaman_nicobar_islands_1906_03,andaman_nicobar_islands_1906_04,REGIME_01,REGIME_02,True,4
Andaman & Nicobar Islands,andaman_nicobar_islands_1906_04,andaman_nicobar_islands_1906_05,REGIME_02,REGIME_01,True,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1906_05,andaman_nicobar_islands_1906_06,REGIME_01,REGIME_01,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1906_06,andaman_nicobar_islands_1906_07,REGIME_01,REGIME_02,True,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1906_07,andaman_nicobar_islands_1906_08,REGIME_02,REGIME_02,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1906_08,andaman_nicobar_islands_1906_09,REGIME_02,REGIME_02,False,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1906_09,andaman_nicobar_islands_1906_10,REGIME_02,REGIME_01,True,3
Andaman & Nicobar Islands,andaman_nicobar_islands_1906_10,andaman_nicobar_islands_1906_11,REGIME_01,REGIME_02,True,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1906_11,andaman_nicobar_islands_1906_12,REGIME_02,REGIME_02,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1906_12,andaman_nicobar_islands_1907_01,REGIME_02,REGIME_01,True,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1907_01,andaman_nicobar_islands_1907_02,REGIME_01,REGIME_01,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1907_02,andaman_nicobar_islands_1907_03,REGIME_01,REGIME_01,False,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1907_03,andaman_nicobar_islands_1907_04,REGIME_01,REGIME_01,False,3
Andaman & Nicobar Islands,andaman_nicobar_islands_1907_04,andaman_nicobar_islands_1907_05,REGIME_01,REGIME_01,False,4
Andaman & Nicobar Islands,andaman_nicobar_islands_1907_05,andaman_nicobar_islands_1907_06,REGIME_01,REGIME_02,True,5
Andaman & Nicobar Islands,andaman_nicobar_islands_1907_06,andaman_nicobar_islands_1907_07,REGIME_02,REGIME_01,True,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1907_07,andaman_nicobar_islands_1907_08,REGIME_01,REGIME_01,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1907_08,andaman_nicobar_islands_1907_09,REGIME_01,REGIME_02,True,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1907_09,andaman_nicobar_islands_1907_10,REGIME_02,REGIME_01,True,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1907_10,andaman_nicobar_islands_1907_11,REGIME_01,REGIME_01,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1907_11,andaman_nicobar_islands_1907_12,REGIME_01,REGIME_01,False,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1907_12,andaman_nicobar_islands_1908_01,REGIME_01,REGIME_01,False,3
Andaman & Nicobar Islands,andaman_nicobar_islands_1908_01,andaman_nicobar_islands_1908_02,REGIME_01,REGIME_01,False,4
Andaman & Nicobar Islands,andaman_nicobar_islands_1908_02,andaman_nicobar_islands_1908_03,REGIME_01,REGIME_01,False,5
Andaman & Nicobar Islands,andaman_nicobar_islands_1908_03,andaman_nicobar_islands_1908_04,REGIME_01,REGIME_01,False,6
Andaman & Nicobar Islands,andaman_nicobar_islands_1908_04,andaman_nicobar_islands_1908_05,REGIME_01,REGIME_01,False,7
Andaman & Nicobar Islands,andaman_nicobar_islands_1908_05,andaman_nicobar_islands_1908_06,REGIME_01,REGIME_01,False,8
Andaman & Nicobar Islands,andaman_nicobar_islands_1908_06,andaman_nicobar_islands_1908_07,REGIME_01,REGIME_01,False,9
Andaman & Nicobar Islands,andaman_nicobar_islands_1908_07,andaman_nicobar_islands_1908_08,REGIME_01,REGIME_01,False,10
Andaman & Nicobar Islands,andaman_nicobar_islands_1908_08,andaman_nicobar_islands_1908_09,REGIME_01,REGIME_01,False,11
Andaman & Nicobar Islands,andaman_nicobar_islands_1908_09,andaman_nicobar_islands_1910_01,REGIME_01,REGIME_01,False,12
Andaman & Nicobar Islands,andaman_nicobar_islands_1910_01,andaman_nicobar_islands_1910_02,REGIME_01,REGIME_01,False,13
Andaman & Nicobar Islands,andaman_nicobar_islands_1910_02,andaman_nicobar_islands_1910_03,REGIME_01,REGIME_01,False,14
Andaman & Nicobar Islands,andaman_nicobar_islands_1910_03,andaman_nicobar_islands_1910_04,REGIME_01,REGIME_01,False,15
Andaman & Nicobar Islands,andaman_nicobar_islands_1910_04,andaman_nicobar_islands_1910_05,REGIME_01,REGIME_02,True,16
Andaman & Nicobar Islands,andaman_nicobar_islands_1910_05,andaman_nicobar_islands_1910_06,REGIME_02,REGIME_01,True,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1910_06,andaman_nicobar_islands_1910_07,REGIME_01,REGIME_02,True,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1910_07,andaman_nicobar_islands_1910_08,REGIME_02,REGIME_02,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1910_08,andaman_nicobar_islands_1910_09,REGIME_02,REGIME_01,True,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1910_09,andaman_nicobar_islands_1910_10,REGIME_01,REGIME_02,True,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1910_10,andaman_nicobar_islands_1910_11,REGIME_02,REGIME_01,True,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1910_11,andaman_nicobar_islands_1910_12,REGIME_01,REGIME_01,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1910_12,andaman_nicobar_islands_1911_01,REGIME_01,REGIME_02,True,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1911_01,andaman_nicobar_islands_1911_02,REGIME_02,REGIME_01,True,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1911_02,andaman_nicobar_islands_1911_03,REGIME_01,REGIME_01,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1911_03,andaman_nicobar_islands_1911_04,REGIME_01,REGIME_01,False,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1911_04,andaman_nicobar_islands_1911_05,REGIME_01,REGIME_01,False,3
Andaman & Nicobar Islands,andaman_nicobar_islands_1911_05,andaman_nicobar_islands_1911_06,REGIME_01,REGIME_01,False,4
Andaman & Nicobar Islands,andaman_nicobar_islands_1911_06,andaman_nicobar_islands_1911_07,REGIME_01,REGIME_02,True,5
Andaman & Nicobar Islands,andaman_nicobar_islands_1911_07,andaman_nicobar_islands_1911_08,REGIME_02,REGIME_02,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1911_08,andaman_nicobar_islands_1911_09,REGIME_02,REGIME_01,True,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1911_09,andaman_nicobar_islands_1911_10,REGIME_01,REGIME_01,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1911_10,andaman_nicobar_islands_1911_11,REGIME_01,REGIME_02,True,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1911_11,andaman_nicobar_islands_1911_12,REGIME_02,REGIME_01,True,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1911_12,andaman_nicobar_islands_1912_01,REGIME_01,REGIME_01,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1912_01,andaman_nicobar_islands_1912_02,REGIME_01,REGIME_01,False,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1912_02,andaman_nicobar_islands_1912_03,REGIME_01,REGIME_01,False,3
Andaman & Nicobar Islands,andaman_nicobar_islands_1912_03,andaman_nicobar_islands_1912_04,REGIME_01,REGIME_01,False,4
Andaman & Nicobar Islands,andaman_nicobar_islands_1912_04,andaman_nicobar_islands_1912_05,REGIME_01,REGIME_02,True,5
Andaman & Nicobar Islands,andaman_nicobar_islands_1912_05,andaman_nicobar_islands_1912_06,REGIME_02,REGIME_01,True,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1912_06,andaman_nicobar_islands_1912_07,REGIME_01,REGIME_01,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1912_07,andaman_nicobar_islands_1912_08,REGIME_01,REGIME_01,False,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1912_08,andaman_nicobar_islands_1912_09,REGIME_01,REGIME_02,True,3
Andaman & Nicobar Islands,andaman_nicobar_islands_1912_09,andaman_nicobar_islands_1912_10,REGIME_02,REGIME_01,True,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1912_10,andaman_nicobar_islands_1912_11,REGIME_01,REGIME_02,True,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1912_11,andaman_nicobar_islands_1912_12,REGIME_02,REGIME_02,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1912_12,andaman_nicobar_islands_1913_01,REGIME_02,REGIME_01,True,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1913_01,andaman_nicobar_islands_1913_02,REGIME_01,REGIME_01,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1913_02,andaman_nicobar_islands_1913_03,REGIME_01,REGIME_01,False,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1913_03,andaman_nicobar_islands_1913_04,REGIME_01,REGIME_02,True,3
Andaman & Nicobar Islands,andaman_nicobar_islands_1913_04,andaman_nicobar_islands_1913_05,REGIME_02,REGIME_02,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1913_05,andaman_nicobar_islands_1913_06,REGIME_02,REGIME_01,True,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1913_06,andaman_nicobar_islands_1913_07,REGIME_01,REGIME_02,True,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1913_07,andaman_nicobar_islands_1913_08,REGIME_02,REGIME_02,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1913_08,andaman_nicobar_islands_1913_09,REGIME_02,REGIME_01,True,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1913_09,andaman_nicobar_islands_1913_10,REGIME_01,REGIME_01,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1913_10,andaman_nicobar_islands_1913_11,REGIME_01,REGIME_02,True,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1913_11,andaman_nicobar_islands_1913_12,REGIME_02,REGIME_02,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1913_12,andaman_nicobar_islands_1914_01,REGIME_02,REGIME_01,True,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1914_01,andaman_nicobar_islands_1914_02,REGIME_01,REGIME_01,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1914_02,andaman_nicobar_islands_1914_03,REGIME_01,REGIME_01,False,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1914_03,andaman_nicobar_islands_1914_04,REGIME_01,REGIME_01,False,3
Andaman & Nicobar Islands,andaman_nicobar_islands_1914_04,andaman_nicobar_islands_1914_05,REGIME_01,REGIME_02,True,4
Andaman & Nicobar Islands,andaman_nicobar_islands_1914_05,andaman_nicobar_islands_1914_06,REGIME_02,REGIME_02,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1914_06,andaman_nicobar_islands_1914_07,REGIME_02,REGIME_01,True,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1914_07,andaman_nicobar_islands_1914_08,REGIME_01,REGIME_01,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1914_08,andaman_nicobar_islands_1914_09,REGIME_01,REGIME_02,True,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1914_09,andaman_nicobar_islands_1914_10,REGIME_02,REGIME_02,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1914_10,andaman_nicobar_islands_1914_11,REGIME_02,REGIME_01,True,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1914_11,andaman_nicobar_islands_1914_12,REGIME_01,REGIME_01,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1914_12,andaman_nicobar_islands_1915_01,REGIME_01,REGIME_01,False,2
