subdivision,from_regime,to_regime,transition_count,transition_probability
Matathwada,REGIME_01,REGIME_01,1175,0.8392857142857143
Matathwada,REGIME_01,REGIME_02,98,0.07
Matathwada,REGIME_02,REGIME_01,98,0.07
Matathwada,REGIME_02,REGIME_02,29,0.020714285714285713
Naga Mani Mizo Tripura,REGIME_01,REGIME_01,933,0.6664285714285715
Naga Mani Mizo Tripura,REGIME_01,REGIME_02,175,0.125
Naga Mani Mizo Tripura,REGIME_02,REGIME_01,175,0.125
Naga Mani Mizo Tripura,REGIME_02,REGIME_02,117,0.08357142857142857
North Interior Karnataka,REGIME_01,REGIME_01,1240,0.8857142857142857
North Interior Karnataka,REGIME_01,REGIME_02,75,0.05357142857142857
North Interior Karnataka,REGIME_02,REGIME_01,75,0.05357142857142857
North Interior Karnataka,REGIME_02,REGIME_02,10,0.007142857142857143
Orissa,REGIME_01,REGIME_01,1107,0.7907142857142857
Orissa,REGIME_01,REGIME_02,131,0.09357142857142857
Orissa,REGIME_02,REGIME_01,130,0.09285714285714286
Orissa,REGIME_02,REGIME_02,32,0.022857142857142857
Punjab,REGIME_01,REGIME_01,1240,0.8857142857142857
Punjab,REGIME_01,REGIME_02,73,0.052142857142857144
Punjab,REGIME_02,REGIME_01,73,0.052142857142857144
Punjab,REGIME_02,REGIME_02,14,0.01
Rayalseema,REGIME_01,REGIME_01,1195,0.8535714285714285
Rayalseema,REGIME_01,REGIME_02,98,0.07
Rayalseema,REGIME_02,REGIME_01,98,0.07
Rayalseema,REGIME_02,REGIME_02,9,0.0064285714285714285
Saurashtra & Kutch,REGIME_01,REGIME_01,1154,0.8242857142857143
Saurashtra & Kutch,REGIME_01,REGIME_02,101,0.07214285714285715
Saurashtra & Kutch,REGIME_02,REGIME_01,101,0.07214285714285715
Saurashtra & Kutch,REGIME_02,REGIME_02,44,0.03142857142857143
South Interior Karnataka,REGIME_01,REGIME_01,1205,0.8607142857142858
South Interior Karnataka,REGIME_01,REGIME_02,91,0.065
South Interior Karnataka,REGIME_02,REGIME_01,91,0.065
South Interior Karnataka,REGIME_02,REGIME_02,13,0.009285714285714286
Sub Himalayan West Bengal & Sikkim,REGIME_01,REGIME_01,918,0.6557142857142857
Sub Himalayan West Bengal & Sikkim,REGIME_01,REGIME_02,196,0.14
Sub Himalayan West Bengal & Sikkim,REGIME_02,REGIME_01,195,0.1392857142857143
Sub Himalayan West Bengal & Sikkim,REGIME_02,REGIME_02,91,0.065
Tamil Nadu,REGIME_01,REGIME_01,1212,0.8657142857142858
Tamil Nadu,REGIME_01,REGIME_02,80,0.05714285714285714
