threshold,observations,events,alerts,true_negatives,false_positives,false_negatives,true_positives,precision,recall,f1,alert_rate,probability_type
0.155,756,31,33,695,30,28,3,0.09090909090909091,0.0967741935483871,0.09375,0.04365079365079365,raw_probability
0.16,756,31,32,696,29,28,3,0.09375,0.0967741935483871,0.09523809523809523,0.042328042328042326,raw_probability
0.165,756,31,32,696,29,28,3,0.09375,0.0967741935483871,0.09523809523809523,0.042328042328042326,raw_probability
0.17,756,31,32,696,29,28,3,0.09375,0.0967741935483871,0.09523809523809523,0.042328042328042326,raw_probability
0.175,756,31,32,696,29,28,3,0.09375,0.0967741935483871,0.09523809523809523,0.042328042328042326,raw_probability
0.18,756,31,31,697,28,28,3,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.041005291005291,raw_probability
0.185,756,31,30,698,27,28,3,0.1,0.0967741935483871,0.09836065573770492,0.03968253968253968,raw_probability
0.19,756,31,29,699,26,28,3,0.10344827586206896,0.0967741935483871,0.1,0.03835978835978836,raw_probability
0.195,756,31,29,699,26,28,3,0.10344827586206896,0.0967741935483871,0.1,0.03835978835978836,raw_probability
0.2,756,31,28,700,25,28,3,0.10714285714285714,0.0967741935483871,0.1016949152542373,0.037037037037037035,raw_probability
0.205,756,31,28,700,25,28,3,0.10714285714285714,0.0967741935483871,0.1016949152542373,0.037037037037037035,raw_probability
0.21,756,31,28,700,25,28,3,0.10714285714285714,0.0967741935483871,0.1016949152542373,0.037037037037037035,raw_probability
0.215,756,31,28,700,25,28,3,0.10714285714285714,0.0967741935483871,0.1016949152542373,0.037037037037037035,raw_probability
0.22,756,31,27,701,24,28,3,0.1111111111111111,0.0967741935483871,0.10344827586206896,0.03571428571428571,raw_probability
0.225,756,31,27,701,24,28,3,0.1111111111111111,0.0967741935483871,0.10344827586206896,0.03571428571428571,raw_probability
0.23,756,31,26,702,23,28,3,0.11538461538461539,0.0967741935483871,0.10526315789473684,0.03439153439153439,raw_probability
0.235,756,31,24,704,21,28,3,0.125,0.0967741935483871,0.10909090909090909,0.031746031746031744,raw_probability
0.24,756,31,23,705,20,28,3,0.13043478260869565,0.0967741935483871,0.1111111111111111,0.03042328042328042,raw_probability
0.245,756,31,23,705,20,28,3,0.13043478260869565,0.0967741935483871,0.1111111111111111,0.03042328042328042,raw_probability
0.25,756,31,23,705,20,28,3,0.13043478260869565,0.0967741935483871,0.1111111111111111,0.03042328042328042,raw_probability
0.255,756,31,23,705,20,28,3,0.13043478260869565,0.0967741935483871,0.1111111111111111,0.03042328042328042,raw_probability
0.26,756,31,22,706,19,28,3,0.13636363636363635,0.0967741935483871,0.11320754716981132,0.0291005291005291,raw_probability
0.265,756,31,22,706,19,28,3,0.13636363636363635,0.0967741935483871,0.11320754716981132,0.0291005291005291,raw_probability
0.27,756,31,22,706,19,28,3,0.13636363636363635,0.0967741935483871,0.11320754716981132,0.0291005291005291,raw_probability
0.275,756,31,21,707,18,28,3,0.14285714285714285,0.0967741935483871,0.11538461538461539,0.027777777777777776,raw_probability
0.28,756,31,21,707,18,28,3,0.14285714285714285,0.0967741935483871,0.11538461538461539,0.027777777777777776,raw_probability
0.285,756,31,21,707,18,28,3,0.14285714285714285,0.0967741935483871,0.11538461538461539,0.027777777777777776,raw_probability
0.29,756,31,21,707,18,28,3,0.14285714285714285,0.0967741935483871,0.11538461538461539,0.027777777777777776,raw_probability
0.295,756,31,20,708,17,28,3,0.15,0.0967741935483871,0.11764705882352941,0.026455026455026454,raw_probability
0.3,756,31,20,708,17,28,3,0.15,0.0967741935483871,0.11764705882352941,0.026455026455026454,raw_probability
0.305,756,31,20,708,17,28,3,0.15,0.0967741935483871,0.11764705882352941,0.026455026455026454,raw_probability
0.31,756,31,20,708,17,28,3,0.15,0.0967741935483871,0.11764705882352941,0.026455026455026454,raw_probability
0.315,756,31,20,708,17,28,3,0.15,0.0967741935483871,0.11764705882352941,0.026455026455026454,raw_probability
0.32,756,31,19,709,16,28,3,0.15789473684210525,0.0967741935483871,0.12,0.02513227513227513,raw_probability
0.325,756,31,18,710,15,28,3,0.16666666666666666,0.0967741935483871,0.12244897959183673,0.023809523809523808,raw_probability
0.33,756,31,18,710,15,28,3,0.16666666666666666,0.0967741935483871,0.12244897959183673,0.023809523809523808,raw_probability
0.335,756,31,18,710,15,28,3,0.16666666666666666,0.0967741935483871,0.12244897959183673,0.023809523809523808,raw_probability
0.34,756,31,17,711,14,28,3,0.17647058823529413,0.0967741935483871,0.125,0.022486772486772486,raw_probability
0.345,756,31,16,712,13,28,3,0.1875,0.0967741935483871,0.1276595744680851,0.021164021164021163,raw_probability
0.35,756,31,16,712,13,28,3,0.1875,0.0967741935483871,0.1276595744680851,0.021164021164021163,raw_probability
0.355,756,31,16,712,13,28,3,0.1875,0.0967741935483871,0.1276595744680851,0.021164021164021163,raw_probability
0.36,756,31,15,713,12,28,3,0.2,0.0967741935483871,0.13043478260869565,0.01984126984126984,raw_probability
0.365,756,31,15,713,12,28,3,0.2,0.0967741935483871,0.13043478260869565,0.01984126984126984,raw_probability
0.37,756,31,15,713,12,28,3,0.2,0.0967741935483871,0.13043478260869565,0.01984126984126984,raw_probability
0.375,756,31,15,713,12,28,3,0.2,0.0967741935483871,0.13043478260869565,0.01984126984126984,raw_probability
0.38,756,31,14,713,12,29,2,0.14285714285714285,0.06451612903225806,0.08888888888888889,0.018518518518518517,raw_probability
0.385,756,31,14,713,12,29,2,0.14285714285714285,0.06451612903225806,0.08888888888888889,0.018518518518518517,raw_probability
0.39,756,31,14,713,12,29,2,0.14285714285714285,0.06451612903225806,0.08888888888888889,0.018518518518518517,raw_probability
0.395,756,31,14,713,12,29,2,0.14285714285714285,0.06451612903225806,0.08888888888888889,0.018518518518518517,raw_probability
0.4,756,31,14,713,12,29,2,0.14285714285714285,0.06451612903225806,0.08888888888888889,0.018518518518518517,raw_probability
0.405,756,31,14,713,12,29,2,0.14285714285714285,0.06451612903225806,0.08888888888888889,0.018518518518518517,raw_probability
0.41,756,31,12,714,11,30,1,0.08333333333333333,0.03225806451612903,0.046511627906976744,0.015873015873015872,raw_probability
0.415,756,31,12,714,11,30,1,0.08333333333333333,0.03225806451612903,0.046511627906976744,0.015873015873015872,raw_probability
0.42,756,31,12,714,11,30,1,0.08333333333333333,0.03225806451612903,0.046511627906976744,0.015873015873015872,raw_probability
0.425,756,31,12,714,11,30,1,0.08333333333333333,0.03225806451612903,0.046511627906976744,0.015873015873015872,raw_probability
0.43,756,31,12,714,11,30,1,0.08333333333333333,0.03225806451612903,0.046511627906976744,0.015873015873015872,raw_probability
0.435,756,31,12,714,11,30,1,0.08333333333333333,0.03225806451612903,0.046511627906976744,0.015873015873015872,raw_probability
0.44,756,31,12,714,11,30,1,0.08333333333333333,0.03225806451612903,0.046511627906976744,0.015873015873015872,raw_probability
0.445,756,31,12,714,11,30,1,0.08333333333333333,0.03225806451612903,0.046511627906976744,0.015873015873015872,raw_probability
0.45,756,31,12,714,11,30,1,0.08333333333333333,0.03225806451612903,0.046511627906976744,0.015873015873015872,raw_probability
0.455,756,31,12,714,11,30,1,0.08333333333333333,0.03225806451612903,0.046511627906976744,0.015873015873015872,raw_probability
0.46,756,31,12,714,11,30,1,0.08333333333333333,0.03225806451612903,0.046511627906976744,0.015873015873015872,raw_probability
0.465,756,31,12,714,11,30,1,0.08333333333333333,0.03225806451612903,0.046511627906976744,0.015873015873015872,raw_probability
0.47,756,31,11,715,10,30,1,0.09090909090909091,0.03225806451612903,0.047619047619047616,0.01455026455026455,raw_probability
0.475,756,31,10,715,10,31,0,0.0,0.0,0.0,0.013227513227513227,raw_probability
0.48,756,31,10,715,10,31,0,0.0,0.0,0.0,0.013227513227513227,raw_probability
0.485,756,31,10,715,10,31,0,0.0,0.0,0.0,0.013227513227513227,raw_probability
0.49,756,31,10,715,10,31,0,0.0,0.0,0.0,0.013227513227513227,raw_probability
0.495,756,31,10,715,10,31,0,0.0,0.0,0.0,0.013227513227513227,raw_probability
0.5,756,31,10,715,10,31,0,0.0,0.0,0.0,0.013227513227513227,raw_probability
