probability,pr_auc,roc_auc,brier,mean_probability
raw_probability,0.09249057749014135,0.7538598442714126,0.045764434587526895,0.02949577257538809
isotonic_probability,0.08025394916982359,0.7393993325917687,0.04795104024093745,0.10845308664886481
sigmoid_probability,0.09249057749014135,0.7538598442714126,0.042352649710467045,0.09521823855780095
