threshold,precision,recall,f1,alert_rate,true_positive,false_positive,false_negative,true_negative,false_positive_rate,policy,probability_model
0.09,0.1608598962194218,0.5117924528301887,0.24478285391990975,0.17592592592592593,217,1132,207,6112,0.15626725565985644,GLOBAL,sigmoid_probability
SEASON_SPECIFIC,0.19444444444444445,0.01650943396226415,0.030434782608695653,0.004694835680751174,7,29,417,7215,,SEASON_AWARE,sigmoid_probability
