model,probability_column,pr_auc,roc_auc,brier_score,mean_probability,max_probability
RAW_XGBOOST,raw_probability,0.15354719107975193,0.8047325112259462,0.1739029503596809,0.3384841255958529,0.8201754
ISOTONIC,isotonic_probability,0.14558574336753116,0.8013534948897201,0.04938433378094472,0.039896488248461134,0.18128656
SIGMOID,sigmoid_probability,0.15354719107975195,0.8047325112259462,0.04939057673366155,0.039652179522965576,0.16743715
