subdivision,year,month,date,rainfall_mm,rainfall_zscore,rainfall_condition,is_dry,dry_episode_length,persistent_drought_signal
Andaman & Nicobar Islands,1905,JUL,1905-07-01,368.7,-0.2028355680453309,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1905,AUG,1905-08-01,330.5,-0.4881305507615755,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1905,SEP,1905-09-01,297.0,-0.9412918253856988,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1905,OCT,1905-10-01,260.7,-0.296771487995533,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1905,NOV,1905-11-01,25.4,-1.7792803420202536,SEVERE_DRY,1,1,0
Andaman & Nicobar Islands,1905,DEC,1905-12-01,344.7,1.4268802606685111,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1906,JAN,1906-01-01,36.6,-0.23855259115715,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1906,FEB,1906-02-01,0.0,-0.7261803680919325,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1906,MAR,1906-03-01,0.0,-0.6527278243832318,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1906,APR,1906-04-01,0.0,-1.093712841342347,DRY,1,1,0
Andaman & Nicobar Islands,1906,MAY,1906-05-01,556.1,1.3461184306966727,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1906,JUN,1906-06-01,733.3,1.7959394207481316,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1906,JUL,1906-07-01,247.7,-1.011577228426182,DRY,1,1,0
Andaman & Nicobar Islands,1906,AUG,1906-08-01,320.5,-0.5597946956848633,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1906,SEP,1906-09-01,164.3,-1.8124536846527115,SEVERE_DRY,1,1,0
Andaman & Nicobar Islands,1906,OCT,1906-10-01,267.8,-0.224830792693369,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1906,NOV,1906-11-01,128.9,-0.8922890689709242,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1906,DEC,1906-12-01,79.2,-0.5964631324253318,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1907,JAN,1907-01-01,110.7,0.7555203474507127,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1907,FEB,1907-02-01,0.0,-0.7261803680919325,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1907,MAR,1907-03-01,113.3,1.687994646494428,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1907,APR,1907-04-01,21.6,-0.7652174033298302,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1907,MAY,1907-05-01,616.3,1.7487428690656488,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1907,JUN,1907-06-01,305.2,-1.1250099282993256,DRY,1,1,0
Andaman & Nicobar Islands,1907,JUL,1907-07-01,443.9,0.2997873481583054,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1907,AUG,1907-08-01,377.6,-0.1505924281728903,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1907,SEP,1907-09-01,200.4,-1.5754608955077292,SEVERE_DRY,1,1,0
Andaman & Nicobar Islands,1907,OCT,1907-10-01,264.4,-0.2592812665000394,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1907,NOV,1907-11-01,648.9,3.56409220625276,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1907,DEC,1907-12-01,245.6,0.6716511448282104,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1908,JAN,1908-01-01,20.9,-0.4491726334802735,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1908,FEB,1908-02-01,85.1,1.5059437045208857,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1908,MAR,1908-03-01,0.0,-0.6527278243832318,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1908,APR,1908-04-01,29.0,-0.652677299566283,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1908,MAY,1908-05-01,562.0,1.38557830090227,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1908,JUN,1908-06-01,693.6,1.5250641832868286,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1908,JUL,1908-07-01,481.4,0.5504304247226188,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1908,AUG,1908-08-01,699.9,2.159142962704672,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1908,SEP,1908-09-01,428.8,-0.0760383736042945,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1908,OCT,1908-10-01,170.7,-1.208695794642679,DRY,1,1,0
Andaman & Nicobar Islands,1908,NOV,1908-11-01,208.1,-0.2135479208983938,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1908,DEC,1908-12-01,196.9,0.3005143341175885,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1910,JAN,1910-01-01,26.6,-0.3727054843565917,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1910,FEB,1910-02-01,22.7,-0.1307724192281137,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1910,MAR,1910-03-01,206.3,3.609329066544052,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1910,APR,1910-04-01,89.3,0.2643724648853257,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1910,MAY,1910-05-01,224.5,-0.8716600371297828,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1910,JUN,1910-06-01,472.7,0.017851589956804,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1910,JUL,1910-07-01,264.3,-0.9006258932003792,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1910,AUG,1910-08-01,337.4,-0.4386822907645072,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1910,SEP,1910-09-01,626.6,1.2224982937884348,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1910,OCT,1910-10-01,208.2,-0.8287273335397016,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1910,NOV,1910-11-01,267.3,0.2937939473578411,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1910,DEC,1910-12-01,153.5,-0.030231817521857,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1911,JAN,1911-01-01,0.0,-0.7295521802671066,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1911,FEB,1911-02-01,8.4,-0.5058531975872594,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1911,MAR,1911-03-01,0.0,-0.6527278243832318,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1911,APR,1911-04-01,122.5,0.7692821196082679,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1911,MAY,1911-05-01,327.3,-0.1841219596492048,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1911,JUN,1911-06-01,649.0,1.2207559820078828,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1911,JUL,1911-07-01,253.0,-0.9761530069384255,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1911,AUG,1911-08-01,187.1,-1.515794388961521,SEVERE_DRY,1,1,0
Andaman & Nicobar Islands,1911,SEP,1911-09-01,464.5,0.1583284566581949,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1911,OCT,1911-10-01,333.8,0.4439136988478713,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1911,NOV,1911-11-01,94.5,-1.1870958302549526,DRY,1,1,0
Andaman & Nicobar Islands,1911,DEC,1911-12-01,247.1,0.6830824634332604,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1912,JAN,1912-01-01,583.7,7.100952195784304,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1912,FEB,1912-02-01,0.8,-0.7051968280438684,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1912,MAR,1912-03-01,0.0,-0.6527278243832318,BELOW_NORMAL,0,0,0
