subdivision,month,historical_mean_mm,historical_std_mm,historical_min_mm,historical_max_mm,observations,coefficient_of_variation
Orissa,NOV,27.82905982905983,36.7581003501247,0.0,152.3,117,1.3208531145468643
Orissa,OCT,113.82649572649574,75.45682985147798,7.5,391.0,117,0.6629109450297666
Orissa,SEP,241.1948717948718,68.11422941894644,113.2,483.2,117,0.28240330696945876
Punjab,APR,12.555555555555555,16.642910080232287,0.0,113.2,117,1.3255415108149609
Punjab,AUG,157.74615384615385,73.10716925368177,17.4,399.1,117,0.4634481885687146
Punjab,DEC,12.638461538461538,15.377843701997918,0.0,77.6,117,1.2167496538403708
Punjab,FEB,26.405982905982906,23.45136673687253,0.0,96.0,117,0.8881080783991215
Punjab,JAN,25.23247863247863,22.23901444828446,0.0,112.1,117,0.8813646400817295
Punjab,JUL,168.19059829059827,67.51078328031545,26.4,359.3,117,0.4013945129303298
Punjab,JUN,47.06923076923077,33.59515939459152,1.6,162.9,117,0.713739290945726
Punjab,MAR,23.666666666666668,22.730561987682172,0.0,108.5,117,0.9604462811696692
Punjab,MAY,14.211965811965811,15.08705292394295,0.1,98.3,117,1.0615739668639195
Punjab,NOV,4.117948717948718,8.151852078374109,0.0,50.7,117,1.9795904798044222
Punjab,OCT,13.616239316239316,39.486608287002824,0.0,370.3,117,2.8999643271479068
Punjab,SEP,85.99059829059829,86.7932223467283,0.5,434.1,117,1.0093338582599183
Rayalseema,APR,19.54871794871795,17.544075605725613,0.4,93.5,117,0.897454024951861
Rayalseema,AUG,107.4948717948718,56.14688839929667,13.6,290.1,117,0.5223215532219951
Rayalseema,DEC,34.202564102564104,37.47763577153544,0.0,198.7,117,1.0957551503785008
Rayalseema,FEB,5.5829059829059835,11.574818763743062,0.0,81.0,117,2.0732605562736346
Rayalseema,JAN,9.799999999999999,18.965031341737962,0.0,115.3,117,1.93520727976918
Rayalseema,JUL,96.0051282051282,45.582908257360444,24.4,245.2,117,0.47479659794804163
Rayalseema,JUN,65.4948717948718,34.372871335104215,23.5,270.7,117,0.5248177512700405
Rayalseema,MAR,8.054700854700855,13.616689149757365,0.0,86.9,117,1.6905269848489088
Rayalseema,MAY,50.641880341880345,37.36071429049374,4.1,239.8,117,0.7377434257629014
Rayalseema,NOV,101.22991452991452,72.358789072421,0.0,383.8,117,0.7147965046541476
Rayalseema,OCT,135.02478632478633,70.08415988330584,4.4,352.5,117,0.5190466268520996
Rayalseema,SEP,131.90769230769232,51.466423862027646,34.8,272.5,117,0.3901699966213899
Saurashtra & Kutch,APR,1.1632478632478633,6.107465729442129,0.0,64.4,117,5.250356284678391
Saurashtra & Kutch,AUG,119.8982905982906,99.4838082328025,4.0,634.0,117,0.8297350006941705
Saurashtra & Kutch,DEC,1.100854700854701,3.612036767257015,0.0,25.6,117,3.281120355349928
Saurashtra & Kutch,FEB,1.588034188034188,4.238822266351544,0.0,28.2,117,2.6692260773042555
Saurashtra & Kutch,JAN,1.1205128205128205,2.358423584454991,0.0,12.5,117,2.1047716199941564
Saurashtra & Kutch,JUL,195.72820512820513,120.04682265119398,8.0,549.1,117,0.6133343049488518
Saurashtra & Kutch,JUN,74.06666666666666,62.64755685029021,1.2,321.8,117,0.8458266001389317
Saurashtra & Kutch,MAR,1.276923076923077,5.644273640929098,0.0,46.2,117,4.420214297113149
Saurashtra & Kutch,MAY,4.593162393162393,16.452249225204095,0.0,131.9,117,3.5819001848695184
Saurashtra & Kutch,NOV,5.992307692307692,17.08076228738935,0.0,106.7,117,2.8504481352511113
Saurashtra & Kutch,OCT,14.856410256410257,30.28461366657476,0.0,208.5,117,2.038487975485702
Saurashtra & Kutch,SEP,74.9957264957265,73.79488160126851,2.1,396.6,117,0.9839878223657662
South Interior Karnataka,APR,41.924786324786325,22.100019137075915,4.8,127.7,117,0.5271349260046241
South Interior Karnataka,AUG,173.54529914529914,57.280028257624195,67.5,305.4,117,0.33005808016538113
South Interior Karnataka,DEC,11.651282051282053,15.832973098419592,0.0,84.9,117,1.3589039411055546
South Interior Karnataka,FEB,4.095726495726495,7.512763773123539,0.0,44.3,117,1.834293325240931
South Interior Karnataka,JAN,2.952136752136752,4.771333188421317,0.0,24.4,117,1.6162304083534862
South Interior Karnataka,JUL,230.15982905982906,71.59675760794289,47.5,492.7,117,0.31107408230361355
South Interior Karnataka,JUN,141.39145299145298,45.858618136108014,64.0,269.4,117,0.32433797917671964
South Interior Karnataka,MAR,9.494017094017094,13.864108279258916,0.0,108.9,117,1.4602994856619493
South Interior Karnataka,MAY,92.51623931623931,38.15600679710671,9.6,190.5,117,0.4124249653802045
South Interior Karnataka,NOV,53.6965811965812,44.58835075099529,0.5,186.6,117,0.830375971009383
South Interior Karnataka,OCT,138.47606837606838,61.28120689813344,17.7,307.4,117,0.44254005487582243
South Interior Karnataka,SEP,137.64273504273504,51.74070683880529,27.7,275.6,117,0.3759058320276834
Sub Himalayan West Bengal & Sikkim,APR,110.91111111111111,55.31452820599069,4.8,281.8,117,0.49872846509108015
