subdivision,year,month,season,probability,risk_rank
Konkan & Goa,2004,6,MONSOON,0.4706210196018219,6152
Assam & Meghalaya,2010,7,MONSOON,0.4706207513809204,6153
Assam & Meghalaya,1941,8,MONSOON,0.4705386757850647,6154
Uttarakhand,2005,5,PRE_MONSOON,0.4705095887184143,6155
Rayalseema,1996,7,MONSOON,0.47048264741897583,6156
Coastal Andhra Pradesh,1935,7,MONSOON,0.4704674780368805,6157
Kerala,1979,8,MONSOON,0.47041913866996765,6158
Vidarbha,1971,8,MONSOON,0.4704149067401886,6159
East Rajasthan,1940,6,MONSOON,0.4704146981239319,6160
East Uttar Pradesh,1970,6,MONSOON,0.47039559483528137,6161
Gangetic West Bengal,1978,7,MONSOON,0.4703732430934906,6162
West Uttar Pradesh,1932,6,MONSOON,0.4703300893306732,6163
Vidarbha,1962,6,MONSOON,0.47031763195991516,6164
West Uttar Pradesh,1938,5,PRE_MONSOON,0.47029608488082886,6165
Assam & Meghalaya,1991,6,MONSOON,0.47025588154792786,6166
North Interior Karnataka,1913,5,PRE_MONSOON,0.47023484110832214,6167
Sub Himalayan West Bengal & Sikkim,1996,7,MONSOON,0.4701940417289734,6168
Assam & Meghalaya,1971,6,MONSOON,0.47018560767173767,6169
Assam & Meghalaya,2016,6,MONSOON,0.4701487421989441,6170
Sub Himalayan West Bengal & Sikkim,1967,5,PRE_MONSOON,0.47014713287353516,6171
North Interior Karnataka,1933,7,MONSOON,0.47014257311820984,6172
Konkan & Goa,1949,7,MONSOON,0.47004473209381104,6173
Assam & Meghalaya,2010,1,WINTER,0.4700236916542053,6174
Chhattisgarh,1915,7,MONSOON,0.4700183868408203,6175
Uttarakhand,1984,6,MONSOON,0.46990421414375305,6176
Tamil Nadu,1968,8,MONSOON,0.4697839021682739,6177
Kerala,1979,7,MONSOON,0.4697343409061432,6178
Tamil Nadu,1947,4,PRE_MONSOON,0.46970951557159424,6179
South Interior Karnataka,1975,5,PRE_MONSOON,0.4696037173271179,6180
Vidarbha,1979,5,PRE_MONSOON,0.46957162022590637,6181
West Madhya Pradesh,1950,6,MONSOON,0.46956154704093933,6182
North Interior Karnataka,1925,5,PRE_MONSOON,0.46944162249565125,6183
Tamil Nadu,2005,5,PRE_MONSOON,0.4693760871887207,6184
North Interior Karnataka,1970,7,MONSOON,0.46932417154312134,6185
Assam & Meghalaya,1944,9,MONSOON,0.4693088233470917,6186
Lakshadweep,1973,6,MONSOON,0.46925851702690125,6187
Coastal Andhra Pradesh,1952,5,PRE_MONSOON,0.4692250192165375,6188
East Madhya Pradesh,1934,6,MONSOON,0.46918874979019165,6189
Coastal Andhra Pradesh,1952,6,MONSOON,0.4691392779350281,6190
Tamil Nadu,1961,6,MONSOON,0.4690699577331543,6191
East Madhya Pradesh,1998,5,PRE_MONSOON,0.4690265357494354,6192
Himachal Pradesh,2003,7,MONSOON,0.46899867057800293,6193
Madhya Maharashtra,1920,3,PRE_MONSOON,0.4688315987586975,6194
Himachal Pradesh,1995,7,MONSOON,0.46879297494888306,6195
Jharkhand,1984,4,PRE_MONSOON,0.4687923491001129,6196
Vidarbha,1906,7,MONSOON,0.4687849283218384,6197
Rayalseema,1985,7,MONSOON,0.4687832295894623,6198
Kerala,1914,7,MONSOON,0.46875810623168945,6199
Chhattisgarh,1927,4,PRE_MONSOON,0.4686885476112366,6200
East Uttar Pradesh,1999,7,MONSOON,0.4686572253704071,6201
Orissa,1996,4,PRE_MONSOON,0.4686073660850525,6202
Orissa,1930,5,PRE_MONSOON,0.46854957938194275,6203
Himachal Pradesh,1965,1,WINTER,0.46853163838386536,6204
Kerala,1912,5,PRE_MONSOON,0.46838369965553284,6205
Sub Himalayan West Bengal & Sikkim,1910,7,MONSOON,0.46835458278656006,6206
Himachal Pradesh,1984,5,PRE_MONSOON,0.4683067202568054,6207
Coastal Karnataka,1968,6,MONSOON,0.46829167008399963,6208
Himachal Pradesh,1954,5,PRE_MONSOON,0.4682697057723999,6209
Jharkhand,2003,7,MONSOON,0.46826574206352234,6210
East Rajasthan,1974,6,MONSOON,0.4682651162147522,6211
Haryana Delhi & Chandigarh,1944,6,MONSOON,0.4681049883365631,6212
Coastal Karnataka,1969,8,MONSOON,0.4680728614330292,6213
Gangetic West Bengal,1967,4,PRE_MONSOON,0.46788614988327026,6214
West Madhya Pradesh,1970,5,PRE_MONSOON,0.4678732454776764,6215
Gangetic West Bengal,1956,5,PRE_MONSOON,0.4678536653518677,6216
South Interior Karnataka,1953,5,PRE_MONSOON,0.46783122420310974,6217
Himachal Pradesh,1981,5,PRE_MONSOON,0.4678041636943817,6218
Kerala,1989,8,MONSOON,0.46773195266723633,6219
Coastal Karnataka,1960,7,MONSOON,0.4676989018917084,6220
Konkan & Goa,1994,7,MONSOON,0.46759289503097534,6221
Orissa,2004,8,MONSOON,0.4675739109516144,6222
Sub Himalayan West Bengal & Sikkim,1998,3,PRE_MONSOON,0.46754002571105957,6223
Orissa,1928,7,MONSOON,0.46748223900794983,6224
Coastal Karnataka,1930,6,MONSOON,0.4674536883831024,6225
West Madhya Pradesh,1944,6,MONSOON,0.4674525558948517,6226
Jammu & Kashmir,2004,12,WINTER,0.46743395924568176,6227
Telangana,1954,6,MONSOON,0.4673590660095215,6228
East Uttar Pradesh,1905,8,MONSOON,0.4672703444957733,6229
Sub Himalayan West Bengal & Sikkim,1912,5,PRE_MONSOON,0.46726611256599426,6230
Assam & Meghalaya,2006,2,WINTER,0.4672641456127167,6231
Konkan & Goa,1907,5,PRE_MONSOON,0.46723905205726624,6232
Assam & Meghalaya,2012,5,PRE_MONSOON,0.4672284424304962,6233
South Interior Karnataka,1952,1,WINTER,0.46721386909484863,6234
Bihar,1920,7,MONSOON,0.4671665132045746,6235
Himachal Pradesh,1983,7,MONSOON,0.46715047955513,6236
Lakshadweep,1974,5,PRE_MONSOON,0.46714526414871216,6237
Rayalseema,1932,6,MONSOON,0.4671403765678406,6238
North Interior Karnataka,1913,3,PRE_MONSOON,0.46712228655815125,6239
Kerala,1939,8,MONSOON,0.46710604429244995,6240
Telangana,1962,5,PRE_MONSOON,0.466976135969162,6241
Uttarakhand,1990,5,PRE_MONSOON,0.4668257236480713,6242
Sub Himalayan West Bengal & Sikkim,1985,6,MONSOON,0.46678146719932556,6243
Kerala,1973,3,PRE_MONSOON,0.4666043817996979,6244
Orissa,1904,4,PRE_MONSOON,0.4666024148464203,6245
Rayalseema,1958,8,MONSOON,0.466511070728302,6246
Orissa,1999,8,MONSOON,0.46645432710647583,6247
South Interior Karnataka,1992,7,MONSOON,0.4664055407047272,6248
North Interior Karnataka,1969,6,MONSOON,0.46631336212158203,6249
Naga Mani Mizo Tripura,1918,4,PRE_MONSOON,0.46630123257637024,6250
Bihar,1935,4,PRE_MONSOON,0.46619725227355957,6251
Uttarakhand,1914,5,PRE_MONSOON,0.4661724269390106,6252
Lakshadweep,1903,7,MONSOON,0.4661530554294586,6253
Andaman & Nicobar Islands,1957,8,MONSOON,0.46612870693206787,6254
Orissa,1973,4,PRE_MONSOON,0.46607205271720886,6255
South Interior Karnataka,1991,8,MONSOON,0.4660634994506836,6256
Rayalseema,1973,6,MONSOON,0.465976357460022,6257
Andaman & Nicobar Islands,1988,5,PRE_MONSOON,0.46597418189048767,6258
Andaman & Nicobar Islands,1975,8,MONSOON,0.4659382104873657,6259
Himachal Pradesh,1967,6,MONSOON,0.465923935174942,6260
South Interior Karnataka,1907,3,PRE_MONSOON,0.4658316969871521,6261
Tamil Nadu,1944,7,MONSOON,0.4657437205314636,6262
Uttarakhand,1982,5,PRE_MONSOON,0.4657394289970398,6263
Orissa,1957,6,MONSOON,0.4657028317451477,6264
Lakshadweep,1971,4,PRE_MONSOON,0.46560898423194885,6265
Tamil Nadu,2006,5,PRE_MONSOON,0.4655362665653229,6266
Bihar,2003,5,PRE_MONSOON,0.4654717445373535,6267
Assam & Meghalaya,1927,3,PRE_MONSOON,0.4654550552368164,6268
Konkan & Goa,2005,5,PRE_MONSOON,0.4653990864753723,6269
Lakshadweep,1914,5,PRE_MONSOON,0.46535584330558777,6270
Jammu & Kashmir,1978,6,MONSOON,0.465348482131958,6271
South Interior Karnataka,1944,4,PRE_MONSOON,0.46533897519111633,6272
Naga Mani Mizo Tripura,2016,6,MONSOON,0.46531400084495544,6273
Bihar,1934,7,MONSOON,0.4652739465236664,6274
South Interior Karnataka,1909,5,PRE_MONSOON,0.465244323015213,6275
Lakshadweep,1924,5,PRE_MONSOON,0.4651286005973816,6276
North Interior Karnataka,1969,7,MONSOON,0.46509966254234314,6277
South Interior Karnataka,1991,4,PRE_MONSOON,0.4650577902793884,6278
Rayalseema,1908,7,MONSOON,0.46505051851272583,6279
Rayalseema,1979,8,MONSOON,0.4650479853153229,6280
Matathwada,1934,5,PRE_MONSOON,0.4650415778160095,6281
Orissa,1922,5,PRE_MONSOON,0.4649961590766907,6282
Assam & Meghalaya,1966,5,PRE_MONSOON,0.46484994888305664,6283
Assam & Meghalaya,2006,9,MONSOON,0.46480607986450195,6284
Bihar,1921,6,MONSOON,0.46477553248405457,6285
Konkan & Goa,1996,4,PRE_MONSOON,0.4647518992424011,6286
East Madhya Pradesh,1927,6,MONSOON,0.46474698185920715,6287
Andaman & Nicobar Islands,1913,7,MONSOON,0.4646836519241333,6288
Andaman & Nicobar Islands,1947,5,PRE_MONSOON,0.46465107798576355,6289
Gangetic West Bengal,1974,7,MONSOON,0.4645523726940155,6290
Konkan & Goa,1969,7,MONSOON,0.46452537178993225,6291
Andaman & Nicobar Islands,1982,3,PRE_MONSOON,0.4644928574562073,6292
Bihar,1911,5,PRE_MONSOON,0.4644419848918915,6293
Jammu & Kashmir,1947,6,MONSOON,0.4642987549304962,6294
Coastal Andhra Pradesh,1937,6,MONSOON,0.4642251133918762,6295
Naga Mani Mizo Tripura,1991,6,MONSOON,0.4641978144645691,6296
Madhya Maharashtra,1934,4,PRE_MONSOON,0.4641772210597992,6297
Rayalseema,1947,8,MONSOON,0.464119553565979,6298
Bihar,1965,8,MONSOON,0.4639979600906372,6299
Assam & Meghalaya,1972,6,MONSOON,0.46395623683929443,6300
Assam & Meghalaya,1909,5,PRE_MONSOON,0.4637763202190399,6301
Lakshadweep,2001,7,MONSOON,0.46376287937164307,6302
North Interior Karnataka,1950,5,PRE_MONSOON,0.4637475907802582,6303
Matathwada,1904,6,MONSOON,0.4637156128883362,6304
Jharkhand,1983,5,PRE_MONSOON,0.4636719226837158,6305
North Interior Karnataka,1963,7,MONSOON,0.46364009380340576,6306
East Madhya Pradesh,1981,5,PRE_MONSOON,0.46358194947242737,6307
West Madhya Pradesh,2006,6,MONSOON,0.46357232332229614,6308
Coastal Karnataka,1957,8,MONSOON,0.4635147750377655,6309
Tamil Nadu,1908,5,PRE_MONSOON,0.46351000666618347,6310
East Uttar Pradesh,1922,6,MONSOON,0.46344590187072754,6311
Rayalseema,1997,7,MONSOON,0.4634239673614502,6312
Naga Mani Mizo Tripura,1988,5,PRE_MONSOON,0.46337011456489563,6313
Lakshadweep,1962,8,MONSOON,0.46335989236831665,6314
Naga Mani Mizo Tripura,1952,7,MONSOON,0.46331822872161865,6315
Sub Himalayan West Bengal & Sikkim,1916,2,WINTER,0.46330055594444275,6316
Kerala,1967,8,MONSOON,0.46326008439064026,6317
Punjab,1998,6,MONSOON,0.46324872970581055,6318
Assam & Meghalaya,2009,9,MONSOON,0.4631364941596985,6319
Lakshadweep,2001,4,PRE_MONSOON,0.4630798399448395,6320
Bihar,1991,8,MONSOON,0.46304044127464294,6321
Vidarbha,1935,7,MONSOON,0.4630391597747803,6322
Kerala,1918,8,MONSOON,0.4629823565483093,6323
South Interior Karnataka,1944,3,PRE_MONSOON,0.4629339575767517,6324
Naga Mani Mizo Tripura,1993,6,MONSOON,0.4628956913948059,6325
Tamil Nadu,1911,4,PRE_MONSOON,0.462833434343338,6326
