subdivision,year,month,season,probability,risk_rank
East Madhya Pradesh,2001,5,PRE_MONSOON,0.45672738552093506,6464
North Interior Karnataka,1993,7,MONSOON,0.45666882395744324,6465
South Interior Karnataka,1921,3,PRE_MONSOON,0.4566553831100464,6466
Sub Himalayan West Bengal & Sikkim,1961,8,MONSOON,0.45665252208709717,6467
Tamil Nadu,1939,7,MONSOON,0.4564332664012909,6468
Jharkhand,1972,5,PRE_MONSOON,0.45642730593681335,6469
North Interior Karnataka,1986,4,PRE_MONSOON,0.456398606300354,6470
Konkan & Goa,1931,7,MONSOON,0.45639342069625854,6471
Chhattisgarh,1996,6,MONSOON,0.45637544989585876,6472
North Interior Karnataka,2000,4,PRE_MONSOON,0.45635858178138733,6473
Lakshadweep,2009,5,PRE_MONSOON,0.4563349485397339,6474
North Interior Karnataka,2001,3,PRE_MONSOON,0.45632946491241455,6475
Assam & Meghalaya,1943,6,MONSOON,0.4562700092792511,6476
Sub Himalayan West Bengal & Sikkim,1985,3,PRE_MONSOON,0.456258088350296,6477
Lakshadweep,1936,6,MONSOON,0.4562535285949707,6478
Chhattisgarh,1918,8,MONSOON,0.45620718598365784,6479
Vidarbha,1975,8,MONSOON,0.4561554789543152,6480
