subdivision,year,month,season,rainfall_mm,rainfall_3m,rainfall_6m,rainfall_12m,historical_monthly_mean,rainfall_anomaly,rainfall_anomaly_pct,rainfall_deficit_mm,rainfall_missing,rainfall_zscore,target_3m_stress,date,rainfall_lag_1m,rainfall_lag_2m,rainfall_lag_3m,rainfall_prev_3m,rainfall_prev_6m,rainfall_prev_12m,rainfall_trend_3m,month_sin,month_cos,target_3m_severe_anomaly,original_month,actual,predicted_probability,predicted,error_type
Konkan & Goa,2017,6.0,2,840.4,887.4000000000002,887.4000000000011,3740.299999999999,690.8752136752137,149.5247863247863,21.642806597354525,0.0,0,0.7616010459431883,0,2017-06-01,47.0,0.0,0.0,47.00000000000023,47.10000000000114,3706.399999999999,47.0,1.2246467991473532e-16,-1.0,0,JUN,0,0.72919506,1,FALSE_POSITIVE
Kerala,2004,3.0,1,37.9,48.39999999999949,541.5000000000003,2309.5,37.12735042735042,0.772649572649577,2.081079214530733,0.0,0,0.0253658056741257,0,2004-03-01,8.1,2.4,9.7,20.199999999999488,597.2000000000004,2353.7,-1.5999999999999996,1.0,6.123233995736766e-17,0,MAR,0,0.72866595,1,FALSE_POSITIVE
Naga Mani Mizo Tripura,2003,3.0,1,78.0,93.30000000000022,270.1000000000001,2250.5,77.44273504273504,0.5572649572649624,0.7195832597563196,0.0,0,0.0092378507121217,0,2003-03-01,11.5,3.8,6.0,21.300000000000228,417.80000000000007,2235.2000000000003,5.5,1.0,6.123233995736766e-17,0,MAR,0,0.7281883,1,FALSE_POSITIVE
Gangetic West Bengal,2000,3.0,1,3.8,71.20000000000029,280.2000000000001,2025.8,29.01965811965812,-25.21965811965812,-86.90542809177391,25.21965811965812,0,-0.8262620657501175,0,2000-03-01,57.9,9.5,0.0,67.40000000000029,744.2,2023.6,57.9,1.0,6.123233995736766e-17,0,MAR,0,0.7276794,1,FALSE_POSITIVE
Assam & Meghalaya,2006,3.0,1,20.8,62.39999999999989,291.19999999999953,2305.1000000000004,79.22136752136751,-58.42136752136752,-73.74445727108935,58.42136752136752,0,-1.2069618718179886,1,2006-03-01,40.9,0.7,1.3,42.899999999999885,445.2999999999996,2456.5,39.6,1.0,6.123233995736766e-17,0,MAR,0,0.72715914,1,FALSE_POSITIVE
Assam & Meghalaya,2010,3.0,1,99.6,103.19999999999976,252.09999999999943,2107.0,79.22136752136751,20.378632478632483,25.7236565288222,0.0,0,0.4210143213868639,0,2010-03-01,3.1,0.5,4.0,7.599999999999772,344.79999999999944,2052.3,-0.8999999999999999,1.0,6.123233995736766e-17,0,MAR,0,0.727098,1,FALSE_POSITIVE
Coastal Karnataka,2006,5.0,1,355.7,366.2999999999993,369.6000000000004,3720.0,122.5974358974359,233.1025641025641,190.1365737351766,0.0,0,1.8747649842082248,0,2006-05-01,5.9,4.7,0.0,10.59999999999932,38.500000000000455,3409.3,5.9,0.4999999999999999,-0.8660254037844387,0,MAY,0,0.72707015,1,FALSE_POSITIVE
Coastal Karnataka,2013,6.0,2,1153.0,1281.9,1322.9000000000003,3673.8,842.2820512820513,310.7179487179488,36.890011872507536,0.0,0,1.6168549147728042,0,2013-06-01,100.4,28.5,19.0,147.89999999999978,173.50000000000043,3171.7,81.4,1.2246467991473532e-16,-1.0,0,JUN,0,0.7252614,1,FALSE_POSITIVE
Naga Mani Mizo Tripura,2002,3.0,1,62.7,85.20000000000023,417.2000000000001,2147.2000000000003,77.44273504273504,-14.742735042735037,-19.036950379657416,14.742735042735037,0,-0.2443921578732924,0,2002-03-01,3.9,18.6,0.2,22.700000000000227,623.5,2123.3,3.7,1.0,6.123233995736766e-17,0,MAR,0,0.722918,1,FALSE_POSITIVE
Sub Himalayan West Bengal & Sikkim,2010,3.0,1,77.6,102.80000000000136,352.60000000000093,2326.2000000000003,43.96666666666667,33.633333333333326,76.49734647460194,0.0,0,1.0763970893547223,0,2010-03-01,19.6,5.6,5.6,30.80000000000136,449.6000000000009,2303.6000000000004,14.000000000000002,1.0,6.123233995736766e-17,0,MAR,0,0.71714187,1,FALSE_POSITIVE
Assam & Meghalaya,2006,1.0,0,0.7,10.899999999999888,906.2999999999996,2446.1000000000004,16.86068376068376,-16.16068376068376,-95.8483297004106,16.16068376068376,0,-1.0360638713972166,0,2006-01-01,1.3,8.9,218.6,228.79999999999987,1380.0999999999997,2468.2000000000003,-217.3,0.4999999999999999,0.8660254037844387,0,JAN,0,0.71604234,1,FALSE_POSITIVE
Kerala,2013,3.0,1,49.9,93.89999999999944,403.70000000000056,2205.7,37.12735042735042,12.772649572649575,34.40226524551672,0.0,0,0.4193214601705014,0,2013-03-01,40.1,3.9,9.4,53.39999999999943,594.9000000000005,2176.8,30.700000000000003,1.0,6.123233995736766e-17,0,MAR,0,0.7158486,1,FALSE_POSITIVE
Konkan & Goa,2013,6.0,2,1028.3,1046.9000000000003,1054.2000000000012,3437.899999999999,690.8752136752137,337.4247863247863,48.84019279397865,0.0,0,1.7186653564842094,0,2013-06-01,18.5,0.1,0.1,18.70000000000045,25.900000000001132,3042.599999999999,18.4,1.2246467991473532e-16,-1.0,0,JUN,0,0.71301246,1,FALSE_POSITIVE
Assam & Meghalaya,2001,3.0,1,30.9,76.10000000000001,182.5999999999996,2462.8,79.22136752136751,-48.32136752136751,-60.99537161907023,48.32136752136751,0,-0.9982999485772652,0,2001-03-01,39.7,5.5,0.4,45.60000000000001,451.5999999999995,2497.8000000000006,39.3,1.0,6.123233995736766e-17,0,MAR,0,0.71280587,1,FALSE_POSITIVE
