season,observations,events,event_rate,alerts,alert_rate,true_positive,false_positive,false_negative,true_negative,precision,recall,f1,false_positive_rate,false_negative_rate
WINTER,1296,21,0.016203703703703703,587,0.4529320987654321,19,568,2,707,0.03236797274275979,0.9047619047619048,0.0625,0.4454901960784314,0.09523809523809523
PRE_MONSOON,1944,211,0.10853909465020577,1786,0.918724279835391,207,1579,4,154,0.11590145576707726,0.981042654028436,0.2073109664496745,0.911136757068667,0.018957345971563982
MONSOON,2592,184,0.07098765432098765,2265,0.8738425925925926,182,2083,2,325,0.08035320088300221,0.9891304347826086,0.1486320947325439,0.8650332225913622,0.010869565217391304
POST_MONSOON,1836,8,0.004357298474945534,209,0.11383442265795207,5,204,3,1624,0.023923444976076555,0.625,0.04608294930875576,0.11159737417943107,0.375
