risk_level,observations,events,alerts,average_probability,percentage,event_rate
CRITICAL,36,7,36,0.15623329361111113,0.004694835680751174,0.19444444444444445
HIGH,990,164,990,0.11972356197272728,0.12910798122065728,0.16565656565656567
ELEVATED,323,46,323,0.0947497644891641,0.04212310902451748,0.14241486068111456
MODERATE,1141,102,0,0.06966166190184049,0.14880020865936358,0.08939526730937773
LOW,5178,105,0,0.013482823000984938,0.6752738654147105,0.020278099652375436
