season,observations,events,event_rate,alerts,alert_rate,precision,recall,f1,pr_auc,roc_auc
WINTER,1296,21,0.016203703703703703,587,0.4529320987654321,0.03236797274275979,0.9047619047619048,0.0625,0.04324706530034665,0.7915219421101775
PRE_MONSOON,1944,211,0.10853909465020577,1786,0.918724279835391,0.11590145576707726,0.981042654028436,0.2073109664496745,0.14833493020441046,0.6110899926981948
MONSOON,2592,184,0.07098765432098765,2265,0.8738425925925926,0.08035320088300221,0.9891304347826086,0.1486320947325439,0.11228808196306318,0.6939978152535028
POST_MONSOON,1836,8,0.004357298474945534,209,0.11383442265795207,0.023923444976076555,0.625,0.04608294930875576,0.0717463652009751,0.8283643326039387
