year,month,season,rainfall_mm,rainfall_3m,rainfall_6m,rainfall_12m,historical_monthly_mean,rainfall_anomaly,rainfall_anomaly_pct,rainfall_deficit_mm,rainfall_missing,rainfall_zscore,rainfall_lag_1m,rainfall_lag_2m,rainfall_lag_3m,rainfall_prev_3m,rainfall_prev_6m,rainfall_prev_12m,rainfall_trend_3m,month_sin,month_cos
-0.30141476,0.0,-0.072849125,-0.051614,-0.01575321,0.051111024,-0.35622454,-0.6627252,0.02465929,-0.011145353,0.004760611,5.900742e-05,-0.1094591,-0.010318321,0.012782237,0.022310698,0.053742643,-0.018158954,-0.65496373,0.010527993,-0.06448755,-1.379696
-0.33054072,0.0,0.042338457,-0.017260125,0.009023106,-0.15209001,-0.4583203,0.0063616354,-0.022115134,-0.08320973,0.0033841336,5.900742e-05,-0.048856962,-0.0012280769,-0.014842027,-0.03648758,0.02449912,-0.05817828,-0.40687957,0.0060309838,0.110049725,-0.9178369
-0.3564643,0.0,-0.029683245,0.037191004,0.026609365,0.045888156,-0.08072399,0.40006647,-0.021483975,-0.02146157,0.005493048,5.880351e-05,-0.09490217,0.016622184,0.026499417,-0.01649314,0.27253896,0.044347785,-0.031361293,0.024908792,-0.005084644,-0.895311
-0.605127,0.0,0.05713601,-0.024646746,-0.002613913,-0.00893645,-0.0430487,0.06352733,-0.025171919,-0.027328186,0.0023350476,5.8720405e-05,-0.060609855,0.014238776,-0.0059872675,0.042678084,0.0028057015,0.09329786,0.01884557,-0.009278782,0.005194759,0.34614107
-0.15088384,0.0,0.008728928,0.016853571,0.0050363843,-0.038967956,0.36808914,0.055981133,0.028136218,0.013376335,0.0044244877,5.8720405e-05,-0.16215613,-0.06317189,-0.07973501,-0.07628193,-0.15498714,-0.25477815,0.41351762,0.006344536,-0.031148935,-1.2879183
-0.4095661,0.0,0.030109242,0.009092181,-0.089438595,0.018264256,0.0011164938,0.06708152,-0.04126144,0.03880477,0.00565177,5.8818776e-05,0.018483702,0.031623106,0.0062885163,0.010422498,-0.0015238046,0.056729883,0.12619068,-0.0039091343,-0.006474808,0.6156279
-0.1482517,0.0,-0.32986635,-0.07704645,0.05565539,-0.012246227,-0.14988019,-0.98495996,-0.0015356769,-0.03572215,0.0028189903,5.8580616e-05,-0.11928631,0.022825422,-0.003202908,-0.07985497,0.029713767,-0.4014305,-0.2095767,-0.0026047714,-0.08242643,-1.5912383
-0.29526687,0.0,0.050622966,0.06557856,-0.111312106,0.01848029,-0.18555906,0.055387225,-0.008241402,0.020934425,0.0058016586,5.916015e-05,-0.010345537,-0.0097513925,0.02455818,-0.054013457,-0.06742193,0.05810999,-0.09737584,0.042547766,-0.17089641,-0.6846594
-0.17908576,0.0,-0.070279725,-0.022234611,-0.0017270914,0.05079405,-0.065737806,-0.06811496,0.03722587,0.0184234,0.0033154439,5.880351e-05,-0.11039864,0.041795786,0.039196964,0.053706452,0.15884158,0.021971954,-0.052786812,0.01875023,-0.043464877,-1.0557585
-0.6233956,0.0,0.060124792,-0.010932347,0.014086896,0.034287337,-0.13218968,0.062016197,-0.02445019,-0.016384874,0.0028611764,5.8924314e-05,-0.067282625,-0.00943303,-0.0075628622,0.043358423,0.033257954,0.12310877,-0.06430991,-0.017914344,0.0013139937,0.2779858
-0.2841158,0.0,-0.40059394,-0.03302709,-0.081121445,0.008145333,-0.51799375,0.11495398,-0.0039421413,-0.028524004,-0.023379235,5.8828227e-05,0.10166775,-0.10750777,0.014351348,0.027311612,0.00879323,-0.029034449,-0.6965587,-0.05979623,-0.06493992,-1.1424811
-0.36381763,0.0,0.04972619,0.010759484,0.020817483,-0.053497884,0.19502653,0.07849188,-0.025398927,0.027045995,-0.02469415,6.82419e-05,-0.029674752,-0.08016154,-0.123124644,0.038817048,-0.14682095,-0.22390711,0.23568994,0.028584596,-0.11000452,0.3134065
-0.15431167,0.0,-0.39154354,0.0077746483,-0.10777731,-0.07321199,-0.003582674,0.018872876,0.0029944011,0.015819332,0.0030271304,5.8720405e-05,-0.07071124,-0.047113966,-0.21840827,-0.11060809,-0.30835155,-0.37492755,0.015184337,0.011750817,-0.121474676,-1.4610442
-0.47031552,0.0,0.055073738,-0.009584621,0.010289605,4.4510467e-05,0.0078525795,0.043360025,-0.021583999,-0.022876328,0.004268118,5.902269e-05,-0.057183307,0.014574026,0.0053540803,-0.025836714,0.036404405,0.10719475,0.0046201237,0.025875403,0.033471882,0.69432634
