subdivision,year,month,season,rainfall_mm,rainfall_3m,rainfall_6m,rainfall_12m,historical_monthly_mean,rainfall_anomaly,rainfall_anomaly_pct,rainfall_deficit_mm,rainfall_missing,rainfall_zscore,target_3m_stress,date,rainfall_lag_1m,rainfall_lag_2m,rainfall_lag_3m,rainfall_prev_3m,rainfall_prev_6m,rainfall_prev_12m,rainfall_trend_3m,month_sin,month_cos,target_3m_severe_anomaly,predicted_probability,actual,risk_alert
Naga Mani Mizo Tripura,2016,,1,285.7,478.70000000000016,530.7,1940.9,289.9905982905983,-4.290598290598325,-1.4795646189531757,4.290598290598325,0,-0.0382955158161828,0,2016-05-01,135.4,57.6,33.5,226.50000000000017,248.9000000000001,1853.5,101.9,0.4999999999999999,-0.8660254037844387,0,0.69614697,0,1
Sub Himalayan West Bengal & Sikkim,2016,,1,233.7,434.0000000000013,470.8000000000009,2431.2,268.4786324786325,-34.77863247863252,-12.953966636954044,34.77863247863252,0,-0.501326972327247,0,2016-05-01,101.4,98.9,7.1,207.40000000000128,260.90000000000094,2502.1,94.3,0.4999999999999999,-0.8660254037844387,1,0.6960766,1,1
Coastal Karnataka,2004,,1,329.2,360.19999999999953,360.2000000000004,3372.5,122.5974358974359,206.6025641025641,168.52111350469536,0.0,0,1.661634458283772,0,2004-05-01,24.7,6.3,0.0,30.999999999999545,41.70000000000034,3053.5,24.7,0.4999999999999999,-0.8660254037844387,0,0.6956509,0,1
Sub Himalayan West Bengal & Sikkim,2011,,1,247.8,454.00000000000136,484.6000000000009,2479.6,268.4786324786325,-20.67863247863249,-7.70215204380492,20.67863247863249,0,-0.2980783162980858,0,2011-05-01,135.0,71.2,19.9,226.1000000000014,244.7000000000009,2567.7,115.1,0.4999999999999999,-0.8660254037844387,0,0.69547755,0,1
Assam & Meghalaya,2001,,2,399.8,864.8,940.8999999999996,2173.8,508.7418803418804,-108.94188034188032,-21.41397918108691,108.94188034188032,0,-1.0262342987234334,0,2001-06-01,266.4,198.6,30.9,495.9,541.4999999999995,2314.2000000000003,235.5,1.2246467991473532e-16,-1.0,0,0.6954665,0,1
Assam & Meghalaya,2011,,1,238.3,439.39999999999975,469.4999999999994,2287.4000000000005,340.8495726495727,-102.54957264957268,-30.08646067894703,102.54957264957268,0,-0.975966042381796,0,2011-05-01,92.1,109.0,11.4,212.49999999999977,242.79999999999944,2442.5000000000005,80.69999999999999,0.4999999999999999,-0.8660254037844387,1,0.69523954,1,1
Assam & Meghalaya,2015,,0,15.5,29.299999999999887,487.4999999999994,2204.8,31.363247863247864,-15.863247863247864,-50.579097969750656,15.863247863247864,0,-0.7611850457184581,0,2015-02-01,13.4,0.4,3.0,16.799999999999887,956.5999999999996,2217.6000000000004,10.4,0.8660254037844386,0.5000000000000001,0,0.6950631,0,1
Coastal Karnataka,2003,,2,973.8,1021.2999999999996,1033.4000000000003,2854.9,842.2820512820513,131.51794871794868,15.614478370726651,0.0,0,0.6843680664179457,0,2003-06-01,10.2,37.3,8.4,55.89999999999954,59.90000000000033,2645.6,1.799999999999999,1.2246467991473532e-16,-1.0,0,0.6947845,0,1
Konkan & Goa,2008,,1,11.1,42.90000000000023,43.10000000000068,3474.499999999999,33.36239316239316,-22.26239316239316,-66.72900548239996,22.26239316239316,0,-0.384436797876923,0,2008-05-01,0.3,31.5,0.1,31.90000000000023,48.00000000000068,3496.799999999999,0.1999999999999999,0.4999999999999999,-0.8660254037844387,0,0.6945569,0,1
North Interior Karnataka,2011,,2,101.3,189.2999999999999,204.19999999999985,879.5999999999999,101.55811965811964,-0.2581196581196536,-0.2541595482356065,0.2581196581196536,0,-0.0075829307283702,0,2011-06-01,46.8,41.2,7.2,95.19999999999987,104.09999999999982,888.4,39.6,1.2246467991473532e-16,-1.0,0,0.6934751,0,1
Coastal Karnataka,2009,,2,1778.9,2329.9,2389.6000000000004,3784.0,1121.2948717948718,657.6051282051283,58.64693977887288,0.0,0,2.2270851473979145,0,2009-07-01,450.3,100.7,24.5,575.4999999999994,611.1000000000005,2692.9,425.8,-0.4999999999999997,-0.8660254037844388,0,0.6931197,0,1
Assam & Meghalaya,2017,,1,116.7,156.19999999999987,338.2999999999995,2324.0000000000005,79.22136752136751,37.47863247863249,47.30874213768626,0.0,0,0.7742934191508614,0,2017-03-01,37.8,1.7,7.4,46.899999999999885,492.7999999999995,2271.4,30.4,1.0,6.123233995736766e-17,0,0.69292223,0,1
Gangetic West Bengal,2000,,1,3.8,71.20000000000029,280.2000000000001,2025.8,29.01965811965812,-25.21965811965812,-86.90542809177391,25.21965811965812,0,-0.8262620657501175,0,2000-03-01,57.9,9.5,0.0,67.40000000000029,744.2,2023.6,57.9,1.0,6.123233995736766e-17,0,0.69220906,0,1
Uttarakhand,2005,,1,52.1,119.0999999999999,272.0999999999992,1298.3,56.16581196581196,-4.06581196581196,-7.238944517150066,4.06581196581196,0,-0.1103970879561286,0,2005-05-01,12.8,54.2,83.2,150.19999999999987,220.7999999999992,1312.2,-70.4,0.4999999999999999,-0.8660254037844387,0,0.6915606,0,1
Konkan & Goa,2006,,2,683.1,894.9000000000005,904.8000000000004,3773.2999999999993,690.8752136752137,-7.775213675213649,-1.125415056338791,7.775213675213649,0,-0.0396028712899279,0,2006-06-01,211.8,0.0,9.9,221.70000000000047,221.80000000000047,3820.399999999999,201.9,1.2246467991473532e-16,-1.0,0,0.6912193,0,1
Orissa,2011,,2,210.1,343.8999999999995,368.7,1398.1,210.45042735042736,-0.3504273504273669,-0.1665130144135368,0.3504273504273669,0,-0.0045500942696625,0,2011-06-01,75.6,58.2,4.9,138.69999999999953,195.8,1334.4,70.69999999999999,1.2246467991473532e-16,-1.0,1,0.6911316,1,1
Naga Mani Mizo Tripura,2010,,2,367.5,1073.1,1328.3000000000002,2166.0,437.6615384615385,-70.1615384615385,-16.03100393700788,70.1615384615385,0,-0.6124188977674736,0,2010-07-01,411.6,294.0,161.5,867.1000000000001,961.8,2094.3,250.1,-0.4999999999999997,-0.8660254037844388,0,0.6910991,0,1
Sub Himalayan West Bengal & Sikkim,2006,,1,270.5,429.6000000000013,447.8000000000008,2672.9,268.4786324786325,2.021367521367494,0.7528969820450683,0.0,0,0.029137605110563,0,2006-05-01,119.3,39.8,17.0,176.1000000000013,186.1000000000008,2656.4,102.3,0.4999999999999999,-0.8660254037844387,0,0.6900444,0,1
Konkan & Goa,2004,,2,678.6,735.9000000000004,735.9000000000002,2698.499999999999,690.8752136752137,-12.27521367521365,-1.77676278324038,12.27521367521365,0,-0.0625235173646198,0,2004-06-01,46.9,10.4,0.0,57.30000000000045,57.30000000000023,2885.199999999999,46.9,1.2246467991473532e-16,-1.0,0,0.6899627,0,1
