subdivision,observations,events,event_rate,alerts,alert_rate,precision,recall,f1,pr_auc,roc_auc,average_probability,maximum_probability,risk_rank
28,213,18,0.08450704225352113,88,0.4131455399061033,0.1590909090909091,0.7777777777777778,0.2641509433962264,0.19930020630887202,0.7564102564102564,0.06920503846197183,0.16084562,1
2,213,35,0.1643192488262911,72,0.3380281690140845,0.25,0.5142857142857142,0.3364485981308411,0.31700443359814645,0.7028892455858748,0.06186186690798121,0.14218853,2
27,213,20,0.09389671361502347,73,0.3427230046948357,0.1780821917808219,0.65,0.27956989247311825,0.16694037653731214,0.7341968911917098,0.059432339868544605,0.16704851,3
16,213,12,0.056338028169014086,55,0.25821596244131456,0.10909090909090909,0.5,0.1791044776119403,0.16014650373650938,0.6687396351575455,0.0554026222483568,0.13620943,4
21,213,13,0.06103286384976526,61,0.2863849765258216,0.16393442622950818,0.7692307692307693,0.2702702702702703,0.1510323778472821,0.7776923076923077,0.05464697823568076,0.1372472,5
17,213,14,0.06572769953051644,63,0.29577464788732394,0.19047619047619047,0.8571428571428571,0.3116883116883117,0.3399429641830415,0.8734745154343144,0.054088613682629114,0.16743715,6
6,213,9,0.04225352112676056,60,0.28169014084507044,0.11666666666666667,0.7777777777777778,0.2028985507246377,0.17471266781600508,0.8393246187363834,0.0530407857629108,0.15639168,7
4,213,15,0.07042253521126761,65,0.3051643192488263,0.16923076923076924,0.7333333333333333,0.275,0.23078129742545464,0.8373737373737373,0.04928433714131456,0.15686782,8
22,213,17,0.07981220657276995,63,0.29577464788732394,0.1746031746031746,0.6470588235294118,0.275,0.18361843195668523,0.765906362545018,0.04896626574788733,0.15311198,9
0,213,3,0.014084507042253521,48,0.22535211267605634,0.020833333333333332,0.3333333333333333,0.0392156862745098,0.029062567596798615,0.6698412698412699,0.04849740198356808,0.13461252,10
23,213,18,0.08450704225352113,60,0.28169014084507044,0.2,0.6666666666666666,0.3076923076923077,0.2911692060688791,0.8410256410256411,0.04773145871971831,0.15449172,11
19,213,10,0.046948356807511735,60,0.28169014084507044,0.15,0.9,0.2571428571428571,0.17125780100953883,0.8551724137931034,0.04588200958920188,0.14728309,12
3,213,9,0.04225352112676056,52,0.24413145539906103,0.11538461538461539,0.6666666666666666,0.19672131147540983,0.10093640801914694,0.8001089324618738,0.044939692931924874,0.15421796,13
25,213,6,0.028169014084507043,48,0.22535211267605634,0.08333333333333333,0.6666666666666666,0.14814814814814814,0.09265551465039956,0.8091787439613526,0.044691299886854455,0.14898096,14
20,213,12,0.056338028169014086,55,0.25821596244131456,0.12727272727272726,0.5833333333333334,0.208955223880597,0.1785004999402731,0.8291873963515755,0.04420984392957747,0.14850384,15
5,213,8,0.03755868544600939,47,0.22065727699530516,0.0851063829787234,0.5,0.14545454545454545,0.18843283254591597,0.8103658536585365,0.04205639441126761,0.14685972,16
18,213,9,0.04225352112676056,41,0.19248826291079812,0.14634146341463414,0.6666666666666666,0.24,0.1447844737309147,0.8415032679738562,0.04164657724366197,0.14910543,17
10,213,6,0.028169014084507043,38,0.1784037558685446,0.07894736842105263,0.5,0.13636363636363635,0.11949496904024767,0.8043478260869565,0.039506779753521126,0.13095985,18
13,213,12,0.056338028169014086,7,0.03286384976525822,0.0,0.0,0.0,0.11902923971798535,0.6583747927031509,0.03922013712394366,0.12393847,19
14,213,9,0.04225352112676056,3,0.014084507042253521,0.0,0.0,0.0,0.036438322274825304,0.4035947712418301,0.0387510815600939,0.10167489,20
32,213,12,0.056338028169014086,47,0.22065727699530516,0.1276595744680851,0.5,0.2033898305084746,0.1474684579248235,0.7939469320066335,0.03872524544694835,0.15376332,21
15,213,22,0.10328638497652583,43,0.20187793427230047,0.32558139534883723,0.6363636363636364,0.4307692307692308,0.2957438103865138,0.8441218467396477,0.03830600312347418,0.1257691,22
29,213,28,0.13145539906103287,26,0.12206572769953052,0.19230769230769232,0.17857142857142858,0.18518518518518517,0.18287412914610798,0.6264478764478765,0.03762866530140845,0.14742124,23
7,213,16,0.07511737089201878,35,0.1643192488262911,0.37142857142857144,0.8125,0.5098039215686274,0.4047515664989085,0.9165609137055837,0.03671749847183099,0.13737607,24
30,213,5,0.023474178403755867,38,0.1784037558685446,0.07894736842105263,0.6,0.13953488372093023,0.07980646804176215,0.8240384615384616,0.03647354158403756,0.15566725,25
1,213,6,0.028169014084507043,0,0.0,0.0,0.0,0.0,0.026748555379057282,0.41384863123993554,0.032986318894835685,0.088880606,26
31,213,7,0.03286384976525822,23,0.107981220657277,0.13043478260869565,0.42857142857142855,0.2,0.2018315018315018,0.8592233009708737,0.03291734397887324,0.14982542,27
33,213,9,0.04225352112676056,26,0.12206572769953052,0.11538461538461539,0.3333333333333333,0.17142857142857143,0.1437554342145447,0.8567538126361656,0.030319524206103288,0.1452992,28
9,213,16,0.07511737089201878,14,0.06572769953051644,0.5714285714285714,0.5,0.5333333333333333,0.5301706365986388,0.9111675126903553,0.029691084580751172,0.12288241,29
35,213,15,0.07042253521126761,12,0.056338028169014086,0.5,0.4,0.4444444444444444,0.5191363484603049,0.9367003367003367,0.026184964732394365,0.123040296,30
8,213,3,0.014084507042253521,10,0.046948356807511735,0.0,0.0,0.0,0.04663414416822597,0.8111111111111112,0.02243600085633803,0.103171036,31
24,213,9,0.04225352112676056,9,0.04225352112676056,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.1412004582417225,0.7935729847494554,0.022396017160093897,0.116988,32
11,213,6,0.028169014084507043,7,0.03286384976525822,0.0,0.0,0.0,0.10975820055057034,0.8599033816425121,0.022014230208450704,0.11729539,33
12,213,9,0.04225352112676056,0,0.0,0.0,0.0,0.0,0.22221457060641653,0.9128540305010894,0.015593251111737089,0.07626978,34
26,213,3,0.014084507042253521,0,0.0,0.0,0.0,0.0,0.03407012325418397,0.7396825396825396,0.01256713336948357,0.081723906,35
34,213,3,0.014084507042253521,0,0.0,0.0,0.0,0.0,0.06003256003256004,0.8492063492063492,0.009460114609389673,0.06657806,36
