feature,reference_mean,current_mean,reference_std,current_std,mean_change,mean_change_pct,reference_missing_rate,current_missing_rate,psi,psi_status
rainfall_trend_3m,0.05276411290322573,57.66234567901234,202.78541927542994,147.56369103586363,57.609581566109114,1091.832635942118,0.004196028830131101,0.0,0.4727110546666623,SIGNIFICANT_DRIFT
rainfall_lag_3m,118.10430718401224,58.92407407407408,176.56528224528032,111.92855489136272,-59.180233109938165,-0.5010844610199644,0.0034331144973799915,0.0,0.25796900641603354,SIGNIFICANT_DRIFT
rainfall_lag_2m,118.06659016789467,87.37129629629631,176.51347742510183,155.63729430275052,-30.695293871598366,-0.2599828946333475,0.002710353550563151,0.0,0.15488218600408055,MODERATE_DRIFT
rainfall_prev_3m,353.6284608735854,262.8817901234568,444.6791339783231,390.837920064383,-90.7466707501286,-0.25661585757463107,0.0012046015780280673,0.0,0.14135661784875178,MODERATE_DRIFT
rainfall_prev_6m,705.9031388152077,498.52407407407406,679.110191093168,505.91177920172333,-207.37906474113367,-0.29377835759294996,0.0009034511835210505,0.0,0.12384704240226836,MODERATE_DRIFT
rainfall_6m,705.8130140562249,526.6632716049382,678.8361879475651,560.5253863748613,-179.14974245128667,-0.25382040127239963,0.00018069023670421009,0.0,0.11038408386199904,MODERATE_DRIFT
rainfall_anomaly_pct,0.1538220507993227,-16.12496556862279,127.42290912273859,69.0016354645947,-16.278787619422115,-105.82869899992968,0.0012648316569294706,0.0,0.09363629328442938,STABLE
rainfall_prev_12m,1407.638520884817,1299.902160493827,907.9979059583912,804.2404287331867,-107.73636039098983,-0.07653695092344596,0.0007227609468168403,0.0,0.09301687942409803,STABLE
rainfall_12m,1407.2502338934733,1305.1373456790122,907.3189909987973,811.381483571517,-102.11288821446101,-0.07256199768528036,0.0,0.0,0.0868165466065867,STABLE
rainfall_3m,353.40936426634534,339.12561728395065,444.5763762438628,442.5821829452791,-14.283746982394689,-0.04041700199995095,0.0004818406312112269,0.0,0.08587914848337473,STABLE
rainfall_mm,117.92338680496924,135.1679012345679,176.44422958094472,173.71787603049805,17.244514429598652,0.14623489790004693,0.0012648316569294706,0.0,0.07285633369827153,STABLE
rainfall_lag_1m,117.99156910078456,116.58641975308642,176.47392854163994,173.49805095439822,-1.405149347698142,-0.011908896189743863,0.001987592603746311,0.0,0.06830293745571774,STABLE
historical_monthly_mean,117.9623841280893,141.2039019857404,160.49148732186893,177.10425674754538,23.241517857651104,0.1970248230335639,0.0,0.0,0.033538760676770266,STABLE
rainfall_zscore,0.0010171388027277023,-0.10980246673841476,0.9972782169608665,0.8221815475617561,-0.11081960554114247,-108.95218655680698,0.0012648316569294706,0.0,0.03225216151316363,STABLE
rainfall_anomaly,0.04616313493102686,-6.036000751172499,73.10973909109798,65.20151633407696,-6.082163886103526,-131.75369834473534,0.0012648316569294706,0.0,0.021676930252445624,STABLE
rainfall_deficit_mm,20.54015404258024,22.95594747210199,40.83196479095562,43.10936967822342,2.4157934295217487,0.11761320895627836,0.0012648316569294706,0.0,0.012426095236551022,STABLE
