period,observations,event_rate,mean_probability,alert_rate,precision,recall,f1,pr_auc,roc_auc,brier_score
BASELINE,7344,0.05732570806100218,0.03912760921055283,0.17238562091503268,0.16982622432859398,0.5106888361045131,0.2548903378778897,0.16201490246403308,0.8081905713441684,0.051043705565966116
RECENT_2017,324,0.009259259259259259,0.051542439937654325,0.25617283950617287,0.024096385542168676,0.6666666666666666,0.046511627906976744,0.04179085234985856,0.8400830737279336,0.01191965653475783
